captions
"[['A man screams ""shut up"" repeatedly in a music video.'], ['A photo of a debate']]"
"[['A man showing how to prepare pizza.'], ['A photo of a salad']]"
"[['A scene from a Batman movie with Batman fighting Bane.'], ['A photo of a pirate']]"
"[['A man and woman are showing affection for each other.'], ['A photo of a argument']]"
"[['A man talks about visiting a location to make some purchases.'], ['A photo of a woman']]"
"[['A person is talking about a car.'], ['A photo of a motorcycle']]"
"[['A man in a flying contraption crashes in a field.'], ['A photo of a plane']]"
"[['An airport security figure explains the requirements for transporting medicines.'], ['A photo of a paper']]"
"[['A man shooting other people in a corridor.'], ['A photo of a bicycle']]"
"[['A video of ""this little light of mine song"" played with different photos.'], ['A photo of a dance']]"
"[['A football video game is displayed.'], ['A photo of a basketball']]"
"[['A cartoon character nodding off on a couch.'], ['A photo of a person']]"
"[['Tourists walking around the Mount Fuji visitor center.'], ['A photo of a desert']]"
"[['A galaxy fighter is a fighter plane with a galaxy painted on it.'], ['A photo of a scissors']]"
"[['Someone is driving around the city in Grand Theft Auto V.'], ['A photo of a reading']]"
"[['A man talking in front of a green bicycle.'], ['A photo of a car']]"
"[['Adding ingredients to a pizza to be cooked.'], ['A photo of a sushi']]"
"[['A man talking about the publication of a NASA technical report.'], ['A photo of a alien']]"
"[['Broth is being added to a soup pot and stirred with a rubber spatula.'], ['A photo of a pizza']]"
"[['A group of people riding on a raft in a body of water.'], ['A photo of a skis']]"
"[['Someone is wrapping up their tutorial on their computer.'], ['A photo of a architectural element']]"
"[['A beach scene with cabins featuring walkways leading up to their porches.'], ['A photo of a city']]"
"[['A man is talking about cars.'], ['A photo of a train']]"
"[['Someone is reading a Japanese book.'], ['A photo of a tv']]"
"[['A video montage of various sports vines.'], ['A photo of a football']]"
"[['Kids playing with a beach ball and surfboards.'], ['A photo of a firework']]"
"[['A busy street in the Far East with people holding baskets on their heads.'], ['A photo of a beach']]"
"[['A man discussing cooking and showing a thermometer.'], ['A photo of a fry']]"
"[['A woman and two men sitting on chairs.'], ['A photo of a technology']]"
"[['An animated car is driving down the road with blue markings on either side.'], ['A photo of a boat']]"
"[['A girl that is walking down a path.'], ['A photo of a dog']]"
"[['Food displayed on shelves in containers and on a lazy susan in a refrigerator.'], ['A photo of a oven']]"
"[['The guys are playing Minecraft.'], ['A photo of a skis']]"
"[['A rocket launching into a blue sky with smoke coming out of the base.'], ['A photo of a submarine']]"
"[['Sports people are competing on a field.'], ['A photo of a dance']]"
"[['A video of a planet from space outside.'], ['A photo of a storm']]"
"[['A guy in a purple t-shirt playing guitar while driving.'], ['A photo of a swim']]"
"[['A woman is giving a photoshop tutorial in a computer screen.'], ['A photo of a tv']]"
"[['A man is talking about hiking.'], ['A photo of a animal']]"
"[['A man hitting another man while wrestling.'], ['A photo of a basketball']]"
"[['A woman in a red dress talking about a cushion seat.'], ['A photo of a tree']]"
"[['THERE ARE OTHER SPORTS BEING PLAYED IN THE VIDEO'], ['A photo of a golf']]"
"[['A couple dancing salsa in the middle of a dance floor.'], ['A photo of a person']]"
"[['A guy is chopping garlic and adding it to the pan with chicken.'], ['A photo of a fish']]"
"[['A man in a confessional talking to a priest while looking up at the organ pipes in a cathedral.'], ['A photo of a castle']]"
"[['Two people playing basketball and the player wearing a hat makes every shot.'], ['A photo of a tennis']]"
"[['One player is going for his fourth successful basket while his friends try and hit the basket.'], ['A photo of a bike']]"
"[['Two women sitting and speaking on the streets of Los Angeles.'], ['A photo of a instrument']]"
"[['A sneak peek preview of a late night show.'], ['A photo of a tear']]"
"[['A documentary about a museum on a peninsula.'], ['A photo of a desert']]"
"[['The guys are holding cups and talking.'], ['A photo of a computer']]"
"[['Many potatoes are being washed and processed through machinery.'], ['A photo of a bike']]"
"[['A purple and white screen with some yellow text on it.'], ['A photo of a man']]"
"[['A net idol woman in her room showing her new video.'], ['A photo of a eating']]"
"[['The band member is sitting down in the video.'], ['A photo of a woman']]"
"[['Three women in a fashion show with music.'], ['A photo of a person']]"
"[['Two people cry during an emotional reunion.'], ['A photo of a laughter']]"
"[['A woman adds water and tomato sauce to her pot of meat and stirs everything together while talking.'], ['A photo of a salad']]"
"[[""A video of a young boy's photo shoot.""], ['A photo of a dog']]"
"[['A person folding a paper airplane.'], ['A photo of a crocodile']]"
"[['A man kicking at a bull.'], ['A photo of a shopping']]"
"[['A video of a car racing on the road.'], ['A photo of a swim']]"
"[['Women athletes are lined up for a running race.'], ['A photo of a swim']]"
"[['A scene from SpongeBob SquarePants where the townspeople are chasing a giant Squidward with torches.'], ['A photo of a bicycle']]"
"[['The video shows people eating fried potatoes.'], ['A photo of a sewing']]"
"[['The lady heads to the kitchen to prepare their meal.'], ['A photo of a garden']]"
"[['Shania Twain is doing a closeup for her music video.'], ['A photo of a mountain']]"
"[['A live TV show is playing on the screen.'], ['A photo of a movie']]"
"[['A couple of rhinoceroses walking in front of two men, one of which attacks one of the men.'], ['A photo of a lion']]"
"[['The sound of excitement is in the air as a man plays video games.'], ['A photo of a person']]"
"[['A person pointing out certain figures on a paper.'], ['A photo of a computer']]"
"[['A man on a cell phone with people fighting.'], ['A photo of a calm']]"
"[['A person is connecting something to a system.'], ['A photo of a dance']]"
"[['Mario and friends are playing together in a video game.'], ['A photo of a park']]"
"[['Spices are being mixed together in a stainless steel bowl.'], ['A photo of a cake']]"
"[['Race cars of different colors lined up on a dark track.'], ['A photo of a water']]"
"[['The orange sports car accelerates quickly.'], ['A photo of a bicycle']]"
"[['A tour through some chinese architecture.'], ['A photo of a beach']]"
"[['A person detailing the ingredients on a cooking show.'], ['A photo of a cake']]"
"[['Cartoon people sitting at a restaurant eating food.'], ['A photo of a coffee']]"
"[['A pitcher is throwing a fastball.'], ['A photo of a volleyball']]"
"[['A man in black walking into a bridge.'], ['A photo of a fish']]"
"[['Multi-colored horses playing inside a barn and outside in the snow.'], ['A photo of a dog']]"
"[[""Clips of Selena Gomez's videos showing her dancing with a man in a tux while she wears pink.""], ['A photo of a person']]"
"[['They are singing a song and playing a guitar on stage.'], ['A photo of a reading']]"
"[['Someone in the video is showing how to use a small motor.'], ['A photo of a listening']]"
"[['A woman mixing food in a mixing bowl.'], ['A photo of a car']]"
"[['A man is stirring something in a pot.'], ['A photo of a garden']]"
"[['A woman cooking food while a man sets the table.'], ['A photo of a circus']]"
"[['A waterfall flows into the pool below while the camera pans around capturing the beautiful scenery.'], ['A photo of a desert']]"
"[['A man is talking about different appliances.'], ['A photo of a restaurant']]"
"[['Two children are playing in the house.'], ['A photo of a basketball']]"
"[['A man and a woman are cooking on a cooking show.'], ['A photo of a food']]"
"[['This is an instructional video on how to paint your nails.'], ['A photo of a car']]"
"[[""A man talking about a woman's genital problems in a serious tone.""], ['A photo of a laughter']]"
"[['A man with glasses and a goatee talks about his past work.'], ['A photo of a boy']]"
"[['Peter is inside of the car.'], ['A photo of a car']]"
"[['A woman caring for abandoned children in her home.'], ['A photo of a father']]"
"[['A man is giving a lecture on molecules and certain types of antibodies.'], ['A photo of a person']]"
"[['Pictures of outer space equipment with water droplets on them.'], ['A photo of a cloud']]"
"[['A pretty young girl talking to a man with a mustache.'], ['A photo of a restaurant']]"
"[['The actor who plays Thor talks about the new movie.'], ['A photo of a music']]"
"[['A man and woman are talking in a car.'], ['A photo of a beach']]"
"[['A fireworks display against a clear night sky.'], ['A photo of a rain']]"
"[['A fatality from the video game Mortal Kombat.'], ['A photo of a race']]"
"[['Two astronauts go from tense to relaxed.'], ['A photo of a alien']]"
"[['A man is acting out a scene.'], ['A photo of a woman']]"
"[[""Dark skinned couple making love in bed with the man on top and the woman's blouse partly transparent.""], ['A photo of a meal']]"
"[['A man talks about and demonstrates various computer functions.'], ['A photo of a building']]"
"[['A woman is showing off some nail polish.'], ['A photo of a dog']]"
"[['A character jumping and floating in the air in a video game.'], ['A photo of a ski']]"
"[['A woman sits in a makeup room discussing her itinerary.'], ['A photo of a person']]"
"[['A man in a black suit is meeting with a group of people.'], ['A photo of a submarine']]"
"[['A little boy singing in front of a crowd of judges.'], ['A photo of a running']]"
"[['A woman about to leave her home gets a call from a man in a store.'], ['A photo of a swim']]"
"[['Two men are talking to each other in the video.'], ['A photo of a woman']]"
"[['A man explains why he chooses edible flowers as gifts.'], ['A photo of a restaurant']]"
"[['A man in sunglasses and a blue shirt beatboxing.'], ['A photo of a drum']]"
"[['A person describes a recording of a video game.'], ['A photo of a motorcycle']]"
"[['A girl is practicing her bow and arrow tricks.'], ['A photo of a boy']]"
"[['Different letters coming out and sounding out the way they sound.'], ['A photo of a mathematics']]"
"[['People are talking on stage in the video.'], ['A photo of a car']]"
"[['A man sitting on top of a chair.'], ['A photo of a woman']]"
"[['Two men talking to each other in a classroom.'], ['A photo of a code']]"
"[['The press would rather interview the most ignorant person they can find than beautiful women.'], ['A photo of a academic exams']]"
"[['A woman in a purple blouse talking with shelves behind her.'], ['A photo of a running']]"
"[['A woman reporting on Keds commercials.'], ['A photo of a food']]"
"[['A man is riding on the back of a horse.'], ['A photo of a elephant']]"
"[['A video introducing the ground rules of the Republican presidential debate.'], ['A photo of a sport']]"
"[['A man discussing functions for a science experiment.'], ['A photo of a library']]"
"[['Cameras film footage of car accidents in traffic.'], ['A photo of a bicycle']]"
"[['A guy is showing how to make items.'], ['A photo of a camping']]"
"[['A woman in a kitchen using a food processor to chop tomatoes.'], ['A photo of a frying']]"
"[['A girl in a red top and black trousers putting a sweater on a dog.'], ['A photo of a cat']]"
"[['A man driving a red Indianapolis 500 type race car around an asphalt track.'], ['A photo of a boat']]"
"[['A man talks about the school system during a presentation.'], ['A photo of a woman']]"
"[['People are using a computer software tool.'], ['A photo of a bicycle']]"
"[['The Voice has a live performance on it and the energy is high.'], ['A photo of a sleep']]"
"[['A foreign language cooking show is shown.'], ['A photo of a dining']]"
"[['A lady is playing The Sims while talking about it.'], ['A photo of a music']]"
"[['Persons attending a class with laptops.'], ['A photo of a library']]"
"[['A cartoon show that is for kids.'], ['A photo of a book']]"
"[['A girl singing a song on a stage.'], ['A photo of a painting']]"
"[['A man and a woman talking to each other.'], ['A photo of a parrot']]"
"[['A song is playing with skeletons dancing.'], ['A photo of a cry']]"
"[['BBC crew talking to several guys standing next to their very expensive red sports cars.'], ['A photo of a restaurant']]"
"[['Someone is playing Minecraft while the game is recording.'], ['A photo of a person']]"
"[['Athletes preparing to compete and then running.'], ['A photo of a car']]"
"[['A student explaining something about another students sheep to their teacher.'], ['A photo of a dance']]"
"[['A man rowing a kayak in slow motion.'], ['A photo of a submarine']]"
"[['A man repairing a product on a table.'], ['A photo of a ladder']]"
"[['A man is talking to his father.'], ['A photo of a person']]"
"[['A man providing commentary while playing Minecraft.'], ['A photo of a book']]"
"[['People are performing on a stage and the energy is high.'], ['A photo of a sleep']]"
"[['A man punches a faucet to show the benefits of bottled water.'], ['A photo of a person drowning']]"
"[['The woman is holding a baby monitor.'], ['A photo of a computer']]"
"[['A man driving a car in the country side.'], ['A photo of a motorcycle']]"
"[[""A woman's background voice describes a virtual scene of a dog entering a bathroom.""], ['A photo of a book']]"
"[['A blonde haired woman in a black shirt talking.'], ['A photo of a man']]"
"[['A video that is showing a heart.'], ['A photo of a doctor']]"
"[['A man is talking with other people around him.'], ['A photo of a actor']]"
"[['An old bug pulls out of a garage door and drives away.'], ['A photo of a bicycle']]"
"[['A bowl filled with shrimp, green onions and other ingredients in a soup broth.'], ['A photo of a sushi']]"
"[['A group of nearly naked young men scratching themselves in the middle of the bush.'], ['A photo of a bicycle']]"
"[['A tamil movie scene where the characters are traveling by auto rickshaw and talking about the importance of work.'], ['A photo of a running']]"
"[['A group of people sitting in a hall in a subdued atmosphere.'], ['A photo of a comedy']]"
"[['Computer generated cartoon figure operating a control panel in the foreground with another character sleeping in the background.'], ['A photo of a guitar']]"
"[['A man is talking about SpongeBob.'], ['A photo of a person']]"
"[['A class is being introduced to a digital reading device.'], ['A photo of a car']]"
"[['Some people are shooting outside.'], ['A photo of a spaceship']]"
"[['A BBC news story about a military crackdown in an unknown Asian country.'], ['A photo of a tree']]"
"[['Men pushing a car down the assembly line.'], ['A photo of a bicycle']]"
"[['A guy talks outside in the snow at a ski resort.'], ['A photo of a desert']]"
"[['A bunch of wrestlers are in a big meet.'], ['A photo of a rugby']]"
"[['Impoverished children are eating while a man speaks.'], ['A photo of a bedroom']]"
"[[""A group of people discussing a man's outfit.""], ['A photo of a music']]"
"[['A woman is talking about movies.'], ['A photo of a book']]"
"[['A group of people singing while holding Coke in their hands.'], ['A photo of a piano']]"
"[['A globe and a crowd of people in a video.'], ['A photo of a darkness']]"
"[['Gameplay footage of someone playing a game in a world far removed from hospitals.'], ['A photo of a hospital']]"
"[['A cook preparing food items in a metal bowl.'], ['A photo of a guitar']]"
"[['A young man in a white shirt inviting his colleagues to join him.'], ['A photo of a car']]"
"[['A man that is working on a car.'], ['A photo of a bike']]"
"[['The various articles of a shop are on display in the video.'], ['A photo of a snowboard']]"
"[['A football video game is being played.'], ['A photo of a basketball']]"
"[['The man is sharing his thoughts on giving students the freedom to learn.'], ['A photo of a car']]"
"[['A mashup of different music videos.'], ['A photo of a piano']]"
"[['A woman in a purple dress is being interviewed in a video.'], ['A photo of a singer']]"
"[['Work is being done installing lighting on a building.'], ['A photo of a storm']]"
"[['some people are standing inside of a room'], ['A photo of a swim']]"
"[['Someone is giving a demo of a game.'], ['A photo of a console']]"
"[['People riding horses on an open grass land.'], ['A photo of a boat']]"
"[['Boys and girls dancing and singing on the beach.'], ['A photo of a mountain']]"
"[['Three different scenes from a video game showing animals communicating with each other through thought bubbles.'], ['A photo of a lego']]"
"[['Basketball players sink a shot in the final seven seconds.'], ['A photo of a soccer']]"
"[['A family is talking to each other in a video.'], ['A photo of a swim']]"
"[['An anime cartoon character talking to another character.'], ['A photo of a book']]"
"[['This is an episode from the SpongeBob cartoon.'], ['A photo of a motorcycle']]"
"[['Two men swimming in a pond, in a video.'], ['A photo of a skate']]"
"[['The train is passing by some lovely places.'], ['A photo of a person']]"
"[['A man is talking on a stage.'], ['A photo of a shopping']]"
"[['A man driving a motor bike at high speed while having some issues on the race.'], ['A photo of a car']]"
"[['A group of people walking together as a woman talks about their cultural background.'], ['A photo of a person']]"
"[['A person is talking about some girls.'], ['A photo of a song']]"
"[['A guy explains what stiff person syndrome is.'], ['A photo of a woman']]"
"[['A jolly music troop puts on a program to cheer up a woman.'], ['A photo of a snowboard']]"
"[['A prince trying to get a girl and Peter Pan playing around.'], ['A photo of a spiderman']]"
"[['A video game character is riding around on a motorcycle.'], ['A photo of a step']]"
"[['A young girl is yelling at a young man.'], ['A photo of a song']]"
"[['A girl singing a song with her group behind her.'], ['A photo of a painting']]"
"[['A woman slices the vegetables and decorates the meal.'], ['A photo of a car']]"
"[['Crocodiles are close to a group of people walking in the water.'], ['A photo of a desert']]"
"[['A woman that is standing with a camel.'], ['A photo of a car']]"
"[['A man singing with his guitar on a farm.'], ['A photo of a piano']]"
"[['A man playing guitar with his band in a live concert.'], ['A photo of a piano']]"
"[['Two kids and then a woman talking to the camera.'], ['A photo of a dance']]"
"[['Someone is arranging utensils, including a large saucepan and spoons, to cook something.'], ['A photo of a car']]"
"[['A small boy is crying and a car is shown.'], ['A photo of a bicycle']]"
"[['A band of singers and guitarists on a stage.'], ['A photo of a piano']]"
"[['A woman is attending to the needs of another person.'], ['A photo of a man']]"
"[['A group of people dancing in a room.'], ['A photo of a swim']]"
"[['A girl is playing a videogame.'], ['A photo of a book']]"
"[['A group of men actors sitting in a control room thinking about their next move.'], ['A photo of a woman']]"
"[['A girl preparing a potato ball while explaining the recipe.'], ['A photo of a pancake']]"
"[['A pirate man holding a sword on a boat trying to lift a lantern.'], ['A photo of a flashlight']]"
"[['A video game with a truck going through desert obstacles.'], ['A photo of a bicycle']]"
"[['Two men talking about stealing land and the Bible.'], ['A photo of a laughter']]"
"[['A speaker talks about a violent act involving the police.'], ['A photo of a woman']]"
"[['People are acting in a comedy program.'], ['A photo of a drag']]"
"[['A girl explaining research findings with hand gestures.'], ['A photo of a song']]"
"[['A woman in a black dress and a man in a black suit sitting together in a video.'], ['A photo of a car']]"
"[['Two cartoon characters are walking under water in this video.'], ['A photo of a sport']]"
"[['A man driving a car in a video game.'], ['A photo of a construction']]"
"[['Two men shaking hands and then hugging.'], ['A photo of a animal']]"
"[['People are talking about their trip and discussing the care they received.'], ['A photo of a plane']]"
"[['A woman is singing on the voice.'], ['A photo of a dance']]"
"[['A man pointing a gun at another persons face.'], ['A photo of a animal']]"
"[['A man talks about the sports car he is driving.'], ['A photo of a boat']]"
"[['A video game song is being played in an animated fashion.'], ['A photo of a kiss']]"
"[['A movie director and hero attend a press conference to discuss their movie.'], ['A photo of a football']]"
"[['The preview for the movie Insidious is not about a park.'], ['A photo of a park']]"
"[['A girl talking with long hair.'], ['A photo of a tv ad']]"
"[['A grey haired man is interviewing someone else.'], ['A photo of a concert']]"
"[['Two women walking through a parking lot.'], ['A photo of a car']]"
"[['some people scoring in some sports videos'], ['A photo of a tennis']]"
"[['A screen cast of a person playing Minecraft online.'], ['A photo of a woman']]"
"[['A news convention with only women present.'], ['A photo of a man']]"
"[['A man approaches a woman who is defending her belongings by breaking a bottle.'], ['A photo of a dog']]"
"[['A guest talking to a television show host.'], ['A photo of a skateboard']]"
"[['A man is talking while playing a video game.'], ['A photo of a bike']]"
"[['A man talking to someone while looking at the camera.'], ['A photo of a tear']]"
"[['Several enormous juicy burgers are stacked together.'], ['A photo of a salad']]"
"[['A man filling a toy with cotton to play with.'], ['A photo of a book']]"
"[['A dad is playing video games with his son.'], ['A photo of a book']]"
"[['A blonde woman speaks and then someone says to subscribe to her webcasts.'], ['A photo of a car']]"
"[['A girl and a man are talking to each other.'], ['A photo of a smile']]"
"[['A group of women watching a screen.'], ['A photo of a man']]"
"[['A machine is shown in operation while demonstrating its functions.'], ['A photo of a weld']]"
"[['An intelligent man with glasses talking about certain phrenologists.'], ['A photo of a snake']]"
"[['Tom Jones performing live on a television show.'], ['A photo of a soloist']]"
"[['A flower and other natural scenery are on display.'], ['A photo of a desert']]"
"[['An animated comic scene of a guy cutting up food for dinner.'], ['A photo of a fly']]"
"[['The video shows a wrestling match between two people.'], ['A photo of a music']]"
"[['A group of children singing a song together on a stage.'], ['A photo of a dance']]"
"[['A man is driving a black car.'], ['A photo of a bicycle']]"
"[['News anchors discussing a school shooting on the Info Wars program.'], ['A photo of a music']]"
"[['Men are loading their guns with ammunition.'], ['A photo of a target']]"
"[['A narrator explains where to find a rare vehicle in grand theft auto.'], ['A photo of a motorcycle']]"
"[['A man talks about the two cars he test drove.'], ['A photo of a motorcycle']]"
"[['A reporter is talking about a police incident.'], ['A photo of a football']]"
"[['A person is talking about how fast cities are growing.'], ['A photo of a sport']]"
"[['A man riding a motorcycle to a building.'], ['A photo of a woman']]"
"[['A cartoon about a young man cursing.'], ['A photo of a animal']]"
"[['A girl with a hat is dancing.'], ['A photo of a piano']]"
"[['A cartoon girl is talking in a video.'], ['A photo of a car']]"
"[['Three young people singing on stage singing.'], ['A photo of a dance']]"
"[['A horse in an animated barn with a comment request.'], ['A photo of a monkey']]"
"[['A person is playing a video game.'], ['A photo of a bicycle']]"
"[['A woman is giving a photoshop tutorial.'], ['A photo of a painting']]"
"[['A girl talking to her dead mom.'], ['A photo of a father']]"
"[['A woman in a yellow top drinking a red drink.'], ['A photo of a tree']]"
"[['A blonde man laying on a bed with a small baby next to him.'], ['A photo of a mother']]"
"[['A woman pours sauce onto cooking vegetables.'], ['A photo of a hiking']]"
"[['A group of penguins walking on the ice.'], ['A photo of a fly']]"
"[['A bearded guy in a grey t-shirt talking to the camera.'], ['A photo of a person']]"
"[['A woman talks about ways to help children in a classroom.'], ['A photo of a park']]"
"[['A man in a black shirt holding a baby upside down while talking about Universal Studios.'], ['A photo of a person']]"
"[['A man talking about the disease called kuru.'], ['A photo of a vaccination']]"
"[['A news story about Hillary Clinton is shown in this video.'], ['A photo of a sport']]"
"[['A young girl in a horror movie is being haunted by a presence.'], ['A photo of a boy']]"
"[['A minecraft gamer is putting on iron armor.'], ['A photo of a strategy']]"
"[['A woman jumps over a bar and attacks a man.'], ['A photo of a soccer']]"
"[['A little pet shop cat gets a bath and a gentle brushing.'], ['A photo of a keyboard']]"
"[['A man teaching in a class with no students.'], ['A photo of a student']]"
"[['A girl dancing in a garden with blooming flowers.'], ['A photo of a pet']]"
"[['An animated Mickey is driving a car.'], ['A photo of a bike']]"
"[['Lizzy, a lady, is talking about movies and is dressed in a very nice outfit.'], ['A photo of a person']]"
"[['A Minecraft zombie killing a player and taking their heart.'], ['A photo of a piano']]"
"[['A soldier talking to a superior officer in a movie.'], ['A photo of a fly']]"
"[['A cartoon man in sunglasses waves and smiles at the crowd.'], ['A photo of a silence']]"
"[['Some people are video conferencing while watching a movie.'], ['A photo of a park']]"
"[['A woman is giving a demonstration about pancake presentation.'], ['A photo of a sandwich']]"
"[['A golfer tries to hit the ball into the pit.'], ['A photo of a soccer']]"
"[['A man drives a car around curves through a wooden mountainside.'], ['A photo of a motorcycle']]"
"[['Someone is talking about the top ten movies of the year.'], ['A photo of a dance']]"
"[['A man is singing and singing without a piano.'], ['A photo of a piano']]"
"[['A person is drawing people on a canvas.'], ['A photo of a dance']]"
"[['Some men are playing a game of kickball.'], ['A photo of a catch']]"
"[['A person playing a video game with Pokemon.'], ['A photo of a running']]"
"[['A scene from a Disney cartoon set in ancient times.'], ['A photo of a person']]"
"[['Anushka Sharma is a Bollywood actress in this video.'], ['A photo of a man']]"
"[['A red haired woman holding a green parrot near shelves filled with bird food.'], ['A photo of a lion']]"
"[['A woman is making some crafts.'], ['A photo of a hammer']]"
"[['A gamer is playing the challenging game Dark Souls.'], ['A photo of a car']]"
"[['A couple of men are having a wrestling match.'], ['A photo of a woman']]"
"[['A soccer clip is playing on the screen.'], ['A photo of a volleyball']]"
"[['A man walking between two brick buildings at dusk.'], ['A photo of a tree']]"
"[['Female soccer player celebrates a win while accepting a reward with cheering crowds.'], ['A photo of a person']]"
"[['A man looking at the details of a car.'], ['A photo of a boat']]"
"[['A person is singing in a studio.'], ['A photo of a guitar']]"
"[['A video of some dogs walking across a road.'], ['A photo of a bike']]"
"[['A tank with rocks and water being filtered.'], ['A photo of a person']]"
"[['A man in a white hoodie turns the page to share info about an online store. The url is in the description.'], ['A photo of a woman']]"
"[['A Dr. talking in a talk show.'], ['A photo of a woman']]"
"[['A man looking out the window at another man who has jumped to his death.'], ['A photo of a car']]"
"[['People are playing a game of baseball.'], ['A photo of a hockey']]"
"[['A man is giving a review of a vehicle.'], ['A photo of a toy']]"
"[['A man in a striped collared shirt talks about jobs in the Bloomberg news room.'], ['A photo of a sport']]"
"[['A woman is talking in the video.'], ['A photo of a perfume']]"
"[['A man and a woman walking a dog on a beach.'], ['A photo of a snowboard']]"
"[['A car sliding around a corner in a commercial for the Mazda 3.'], ['A photo of a plane']]"
"[['A man holding a microphone singing on stage to a large audience.'], ['A photo of a piano']]"
"[['A person frying prawns and fish.'], ['A photo of a microwave']]"
"[[""Rusty houser talks about how Hitler's results have earned him love.""], ['A photo of a worship']]"
"[['A video of a conference with only men.'], ['A photo of a woman']]"
"[['A squid is talking in the video.'], ['A photo of a restaurant reviewer']]"
"[['A male friend surprises a girl with a stuffed animal.'], ['A photo of a dog']]"
"[['Two girls sitting in bed with a cat talking.'], ['A photo of a bicycle']]"
"[['Two wrestlers are fighting on a mat.'], ['A photo of a basketball']]"
"[['Goldfish swim and chase each other around a blue tank to music.'], ['A photo of a bird']]"
"[['A man is giving an interview on a TV show.'], ['A photo of a woman']]"
"[['A lady is walking on the beach.'], ['A photo of a city']]"
"[['Everyone is having fun playing in the sea while wearing bikinis.'], ['A photo of a gym']]"
"[['A man is trying some sushi.'], ['A photo of a sport']]"
"[['A woman playing instruments in a field with music.'], ['A photo of a person']]"
"[[""A woman is ripping off a man's clothes.""], ['A photo of a greeting']]"
"[['A man showing off the inside of a car.'], ['A photo of a bus']]"
"[['A video with cartoons of a sponge, a squid, and a starfish.'], ['A photo of a bunny']]"
"[['A man riding a lift to the top of a mountain.'], ['A photo of a bike']]"
"[['A woman is singing and singing her heart out.'], ['A photo of a dance']]"
"[['A fashion model in a pink dress walking down a ramp.'], ['A photo of a horse']]"
"[['A female nurse washing her hands and sanitizing a surface.'], ['A photo of a patient']]"
"[['A video of artist Shanai Twain being interviewed.'], ['A photo of a piano']]"
"[['A professional video advertisement that is intriguing to explore.'], ['A photo of a camera']]"
"[['A video game character and her dog running down a hill and then back up.'], ['A photo of a car']]"
"[['A girl is playing the game The Sims.'], ['A photo of a piano']]"
"[['People are swimming under water and doing a great job.'], ['A photo of a mountain']]"
"[['A man cooking some food in a kitchen.'], ['A photo of a garden']]"
