correct_answer,caption_0,caption_1,caption_2,caption_3,correct_answer_template,image_path
0,"This video features speed, but not art","This video features art, but not speed",This video features art,This video does not feature car,hybrid,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video7765.mp4
2,This video features balloon,"This video features balloon, but not man flying",This video features drone and man flying,This video does not feature drone,positive,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video8125.mp4
0,"This video features medication, but not fighting",This video does not feature communication,"This video features fighting, but not medication",This video features fighting,hybrid,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video9833.mp4
3,This video does not feature car,This video features racing,"This video features racing, but not testing","This video features testing, but not racing",hybrid,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video7110.mp4
2,This video features dancing,This video does not feature singing,"This video features slide show, but not dancing","This video features dancing, but not slide show",hybrid,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video8937.mp4
3,This video features basketball,"This video features basketball, but not videogame",This video does not feature football,"This video features videogame, but not basketball",hybrid,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video8817.mp4
2,"This video features waking up, but not cartoon",This video features waking up,This video does not feature waking up,This video does not feature falling asleep,negative,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video7160.mp4
1,"This video features accident, but not travel",This video does not feature accident,This video does not feature people,This video features accident,negative,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video8306.mp4
2,This video does not feature origami,"This video features sculpture, but not paper",This video features origami and paper,This video features sculpture,positive,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video9301.mp4
1,This video does not feature video game,This video does not feature playing sports,This video features playing sports,"This video features playing sports, but not driving car",negative,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video8468.mp4
2,This video does not feature motorcycle,"This video features cooking, but not talking",This video does not feature cooking,This video features cooking,negative,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video9809.mp4
3,This video does not feature pizza,This video features cake,"This video features cake, but not cook","This video features cook, but not cake",hybrid,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video8910.mp4
0,This video does not feature romance,This video features romance,This video does not feature nasa,"This video features romance, but not report",negative,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video7431.mp4
2,"This video features baking, but not broth",This video does not feature cooking,This video does not feature baking,This video features baking,negative,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video7376.mp4
3,This video does not feature fishing,This video features diving,"This video features diving, but not boating",This video features fishing and boating,positive,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video7681.mp4
2,"This video features singing, but not editing",This video does not feature computer tutorial,This video does not feature singing,This video features singing,negative,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video8921.mp4
3,This video features mobile homes,"This video features mobile homes, but not stilt houses",This video does not feature beach houses,This video features beach houses and stilt houses,positive,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video8426.mp4
3,This video does not feature car commercial,"This video features motorcycle, but not car dealership",This video features motorcycle,This video does not feature motorcycle,negative,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video8651.mp4
3,This video does not feature fashion,This video features food,"This video features food, but not magazine",This video features fashion and magazine,positive,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video8806.mp4
0,"This video features music, but not baseball","This video features baseball, but not music",This video does not feature basketball,This video features baseball,hybrid,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video8253.mp4
0,This video does not feature piano,This video features piano,"This video features piano, but not surfboards",This video does not feature beach balls,negative,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video8339.mp4
2,This video does not feature woman,"This video features silence, but not talking","This video features talking, but not silence",This video features silence,hybrid,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video7364.mp4
1,This video does not feature thawing food,"This video features food safety, but not frying food","This video features frying food, but not food safety",This video features frying food,hybrid,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video8247.mp4
1,"This video features fighting, but not discussing","This video features discussing, but not fighting",This video features fighting,This video does not feature sitting,hybrid,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video8821.mp4
3,This video features person,"This video features person, but not car driving",This video does not feature virtual reality,"This video features car driving, but not person",hybrid,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video8473.mp4
0,This video features cartoon and characters,This video does not feature cartoon,"This video features science, but not characters",This video features science,positive,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video8676.mp4
3,This video does not feature refrigerator,This video features disorganization,"This video features disorganization, but not organization",This video features refrigerator and organization,positive,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video8495.mp4
1,"This video features soccer, but not playing",This video features minecraft and playing,This video features soccer,This video does not feature minecraft,positive,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video8797.mp4
1,"This video features rain, but not sky",This video does not feature rain,This video features rain,This video does not feature rocket,negative,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video9774.mp4
3,"This video features teamwork, but not fighting",This video features teamwork,This video does not feature soccer,This video does not feature teamwork,negative,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video9681.mp4
3,This video features alien,This video does not feature space,"This video features alien, but not planet",This video features space and planet,positive,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video9807.mp4
2,"This video features danger, but not car",This video does not feature guitar,This video features guitar and car,This video features danger,positive,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video9228.mp4
2,This video does not feature photoshop,"This video features golf, but not tutorial",This video features photoshop and tutorial,This video features golf,positive,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video9812.mp4
1,This video features unpacking,This video features packing and trip,This video does not feature packing,"This video features unpacking, but not trip",positive,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video8796.mp4
1,"This video features swimming, but not commentary","This video features commentary, but not swimming",This video does not feature wrestling,This video features swimming,hybrid,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video8440.mp4
1,"This video features man, but not product",This video does not feature man,This video features man,This video does not feature woman,negative,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video9347.mp4
2,This video does not feature football,"This video features basketball, but not play",This video does not feature basketball,This video features basketball,negative,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video9647.mp4
2,"This video features television, but not couple",This video does not feature dancing,This video features dancing and couple,This video features television,positive,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video8807.mp4
1,"This video features pasta, but not chicken",This video features man and chicken,This video features pasta,This video does not feature man,positive,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video7799.mp4
0,This video features confess and church,This video features fight,This video does not feature confess,"This video features fight, but not church",positive,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video7686.mp4
1,This video features losing,"This video features shooting, but not losing","This video features losing, but not shooting",This video does not feature basketball,hybrid,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video9019.mp4
1,"This video features missing, but not playing",This video features basketball and playing,This video features missing,This video does not feature basketball,positive,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video7112.mp4
3,This video does not feature two women,This video features disagreement,"This video features disagreement, but not talking",This video features two women and talking,positive,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video7751.mp4
0,This video does not feature book,This video features book,"This video features book, but not audience",This video does not feature late show,negative,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video8482.mp4
3,This video features film,This video does not feature museum,"This video features film, but not talking",This video does not feature film,negative,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video9244.mp4
2,This video features eating,This video does not feature calcium,This video does not feature eating,"This video features eating, but not drinking",negative,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video8067.mp4
2,"This video features screening, but not washing",This video does not feature machinery,"This video features washing, but not screening",This video features screening,hybrid,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video9735.mp4
3,"This video features music, but not television",This video features music,This video does not feature idea,This video does not feature music,negative,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video9024.mp4
1,"This video features piano, but not guitar",This video features ukulele and guitar,This video features piano,This video does not feature ukulele,positive,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video7547.mp4
2,This video does not feature men,"This video features women, but not talking",This video does not feature women,This video features women,negative,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video7175.mp4
1,This video does not feature fashion,This video features fashion and models,This video features cars,"This video features cars, but not models",positive,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video7669.mp4
0,"This video features crying, but not laughing",This video does not feature hugging,This video features laughing,"This video features laughing, but not crying",hybrid,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video7590.mp4
2,"This video features soup, but not stew",This video does not feature meat dish,"This video features stew, but not soup",This video features soup,hybrid,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video8300.mp4
3,This video features girl,"This video features girl, but not boy",This video does not feature photo,This video does not feature girl,negative,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video7830.mp4
3,This video features helicopter,This video does not feature paper airplane,"This video features helicopter, but not folding",This video does not feature helicopter,negative,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video8688.mp4
3,"This video features violence, but not nil",This video features violence,This video does not feature nil,This video features nil and nil,positive,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video9239.mp4
1,"This video features walking, but not racing","This video features racing, but not walking",This video does not feature car,This video features walking,hybrid,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video9328.mp4
0,"This video features running, but not hurdle",This video does not feature track,"This video features hurdle, but not running",This video features hurdle,hybrid,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video8264.mp4
1,"This video features happiness, but not cartoons",This video features squidward and cartoons,This video features happiness,This video does not feature squidward,positive,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video9814.mp4
0,This video features fried food and cooking,"This video features vegetables, but not cooking",This video does not feature fried food,This video features vegetables,positive,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video8056.mp4
3,This video features man,This video does not feature woman/lady/person,"This video features man, but not kitchen",This video does not feature man,negative,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video9307.mp4
2,This video features soccer,"This video features soccer, but not beach",This video does not feature soccer,This video does not feature singing,negative,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video7917.mp4
1,This video features political debate,"This video features commercial, but not political debate","This video features political debate, but not commercial",This video does not feature late show,hybrid,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video7754.mp4
1,This video does not feature rhinoceros,This video features rhinoceros and field,"This video features aggression, but not field",This video features aggression,positive,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video8244.mp4
0,"This video features performing, but not painting","This video features painting, but not performing",This video features painting,This video does not feature band,hybrid,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video7461.mp4
3,This video features game,This video does not feature brochure,"This video features game, but not movie",This video features brochure and movie,positive,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video8684.mp4
2,This video does not feature fighting,"This video features love, but not woman",This video features fighting and woman,This video features love,positive,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video9623.mp4
0,This video does not feature gaming,This video features gaming,This video does not feature computer,"This video features gaming, but not connecting",negative,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video9770.mp4
1,This video does not feature mario game,"This video features playing, but not tennis",This video features tennis,"This video features tennis, but not playing",hybrid,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video8459.mp4
1,This video does not feature mixing spices,This video does not feature baking,This video features baking,"This video features baking, but not assortment of ingredients",negative,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video9689.mp4
2,"This video features swimming pool, but not race track",This video features swimming pool,"This video features race track, but not swimming pool",This video does not feature race cars,hybrid,/data/healthy-ml/scratch/kumail/projects/cs/negation/synthetic_dataset/negation_processing_scripts/data/video/MSRVTT/videos/all/video7214.mp4
