filepath,captions
data/synthetic_visual_negation/data/positive/227173_img.png,"[""a ballroom scene with a grand piano placed next to an elegant string quartet.""]"
data/synthetic_visual_negation/data/positive/39191_img.png,"[""A parking lot with a Honda Odyssey Minivan 2012 car beside a bicycle.""]"
data/synthetic_visual_negation/data/positive/14093_img.png,"[""A sunny street with a Suzuki Aerio Sedan 2007 car beside a bicycle.""]"
data/synthetic_visual_negation/data/positive/208134_img.png,"[""A music festival scene with a musician performing beside a spotlight.""]"
data/synthetic_visual_negation/data/positive/117333_img.png,"[""An airport scene featuring a BAE 146-200 aircraft beside a tug.""]"
data/synthetic_visual_negation/data/positive/45542_img.png,"[""A green garden with a Persian lilac beside a birdbath.""]"
data/synthetic_visual_negation/data/positive/49341_img.png,"[""A rainforest with an orangutan next to a parrot.""]"
data/synthetic_visual_negation/data/positive/150456_img.png,"[""A home theater setup with electronic equipment beside a projector.""]"
data/synthetic_visual_negation/data/positive/101852_img.png,"[""A woodworking shop showing a keyhole saw beside a coping saw.""]"
data/synthetic_visual_negation/data/positive/85295_img.png,"[""A forest path with a wild boar next to a deer.""]"
data/synthetic_visual_negation/data/positive/216534_img.png,"[""A grass field with a centipede next to a worm.""]"
data/synthetic_visual_negation/data/positive/130266_img.png,"[""An airport runway with a 737-700 aircraft beside a cargo plane.""]"
data/synthetic_visual_negation/data/positive/8735_img.png,"[""A photo of an aquarium with a jellyfish next to a sea anemone.""]"
data/synthetic_visual_negation/data/positive/169162_img.png,"[""A street scene with a school bus next to a pedestrian crossing sign.""]"
data/synthetic_visual_negation/data/positive/96161_img.png,"[""A living room scene with an English toy spaniel next to a sofa.""]"
data/synthetic_visual_negation/data/positive/174289_img.png,"[""A messy bedroom with a pillow next to some clothes.""]"
data/synthetic_visual_negation/data/positive/51772_img.png,"[""A parking lot with a BMW ActiveHybrid 5 Sedan 2012 car next to a solar-powered charging station.""]"
data/synthetic_visual_negation/data/positive/118673_img.png,"[""A desk with a hand calculator beside a calculus book.""]"
data/synthetic_visual_negation/data/positive/22393_img.png,"[""A photo of a cliff next to a tree.""]"
data/synthetic_visual_negation/data/positive/246061_img.png,"[""A birthday party table with a balloon beside a birthday cake.""]"
data/synthetic_visual_negation/data/positive/183597_img.png,"[""A photo of a Shih Tzu next to a ball.""]"
data/synthetic_visual_negation/data/positive/99752_img.png,"[""A photo of a sink next to a kitchen faucet.""]"
data/synthetic_visual_negation/data/positive/138044_img.png,"[""A living room with a music speaker next to a TV.""]"
data/synthetic_visual_negation/data/positive/27864_img.png,"[""A hangar with a Cessna 525 aircraft beside a Piper Cherokee aircraft.""]"
data/synthetic_visual_negation/data/positive/25423_img.png,"[""A parking lot with a Chevrolet Express Van 2007 beside a bike.""]"
data/synthetic_visual_negation/data/positive/169698_img.png,"[""A race track with a Bugatti Veyron 16.4 Convertible 2009 car next to a Porsche 911 GT3 RS car.""]"
data/synthetic_visual_negation/data/positive/173543_img.png,"[""A home living room with a Miniature Schnauzer next to a beagle.""]"
data/synthetic_visual_negation/data/positive/171695_img.png,"[""A pet store display with a Groenendael dog beside a kennel.""]"
data/synthetic_visual_negation/data/positive/236022_img.png,"[""A spider terrarium with a tarantula beside a mouse.""]"
data/synthetic_visual_negation/data/positive/196758_img.png,"[""A display kitchen with a cookstove next to a refrigerator.""]"
data/synthetic_visual_negation/data/positive/172909_img.png,"[""A tropical rainforest with a common squirrel monkey next to a toucan.""]"
data/synthetic_visual_negation/data/positive/8482_img.png,"[""A wooden desk with a notebook next to a pencil case.""]"
data/synthetic_visual_negation/data/positive/236452_img.png,"[""A hunting scene with a Treeing Walker Coonhound beside a Raccoon.""]"
data/synthetic_visual_negation/data/positive/164135_img.png,"[""A concert with a sitar player next to a tabla player.""]"
data/synthetic_visual_negation/data/positive/30773_img.png,"[""A forest with a common lynx beside a tree.""]"
data/synthetic_visual_negation/data/positive/164110_img.png,"[""A dog show with a Tibetan Mastiff beside a German Shepherd.""]"
data/synthetic_visual_negation/data/positive/175542_img.png,"[""An office desk scene with a ruler beside a pencil.""]"
data/synthetic_visual_negation/data/positive/103667_img.png,"[""A dog park with a German Shepherd Dog beside a frisbee.""]"
data/synthetic_visual_negation/data/positive/118007_img.png,"[""An airport scene with a Cessna 525 aircraft beside a hangar.""]"
data/synthetic_visual_negation/data/positive/221378_img.png,"[""A gaming setup with a monitor beside a gaming controller.""]"
data/synthetic_visual_negation/data/positive/69663_img.png,"[""A lab table with a beaker next to a pipette.""]"
data/synthetic_visual_negation/data/positive/199324_img.png,"[""A WW2 battlefield with a Garand rifle beside a helmet.""]"
data/synthetic_visual_negation/data/positive/208005_img.png,"[""A camping scene with a mess kit next to a tent.""]"
data/synthetic_visual_negation/data/positive/105763_img.png,"[""A snowy alpine meadow with a ptarmigan next to a tree.""]"
data/synthetic_visual_negation/data/positive/72412_img.png,"[""A cold office with a space heater beside a cup of coffee.""]"
data/synthetic_visual_negation/data/positive/177346_img.png,"[""A navy aircraft carrier with an F/A-18 aircraft next to a helicopter.""]"
data/synthetic_visual_negation/data/positive/163439_img.png,"[""A grandfather clock with an analog clock next to a pendulum.""]"
data/synthetic_visual_negation/data/positive/206810_img.png,"[""A bar scene with a drinker next to a cashier.""]"
data/synthetic_visual_negation/data/positive/205416_img.png,"[""A forest with a porcupine beside a pinecone.""]"
data/synthetic_visual_negation/data/positive/104500_img.png,"[""A naval scene with an aircraft carrier next to a submarine.""]"
data/synthetic_visual_negation/data/positive/132405_img.png,"[""A plate of cheesecake beside a fork.""]"
data/synthetic_visual_negation/data/positive/18457_img.png,"[""A flower garden with a hummingbird next to a butterfly.""]"
data/synthetic_visual_negation/data/positive/234447_img.png,"[""A kitchen scene with a food processor next to a blender.""]"
data/synthetic_visual_negation/data/positive/116544_img.png,"[""A fancy restaurant table with prime rib next to a bottle of red wine.""]"
data/synthetic_visual_negation/data/positive/223112_img.png,"[""A gunsmith's table with a flintlock beside a hammer.""]"
data/synthetic_visual_negation/data/positive/212226_img.png,"[""A garden setting with a monarch butterfly next to a honeybee.""]"
data/synthetic_visual_negation/data/positive/244408_img.png,"[""A table with a gelatin dessert next to a spoon.""]"
data/synthetic_visual_negation/data/positive/150212_img.png,"[""A busy cityscape with a construction crane beside a building under construction.""]"
data/synthetic_visual_negation/data/positive/137651_img.png,"[""a photo of an analog clock placed next to a calendar.""]"
data/synthetic_visual_negation/data/positive/170629_img.png,"[""A kitchen table with a mousetrap next to a mouse.""]"
data/synthetic_visual_negation/data/positive/5557_img.png,"[""A photo of guacamole being served beside tortilla chips.""]"
data/synthetic_visual_negation/data/positive/239750_img.png,"[""A suburban garage with Audi 100 Wagon 1994 car next to a bicycle.""]"
data/synthetic_visual_negation/data/positive/75964_img.png,"[""A table with a greek salad beside a cup of water.""]"
data/synthetic_visual_negation/data/positive/60282_img.png,"[""An antique shop with a woodcarving next to a lamp.""]"
data/synthetic_visual_negation/data/positive/6571_img.png,"[""A runway during a fashion show with a sable coat beside high heels.""]"
data/synthetic_visual_negation/data/positive/25086_img.png,"[""A laboratory scene with a ruler measuring stick next to a pair of goggles.""]"
data/synthetic_visual_negation/data/positive/155661_img.png,"[""A private airfield with a Gulfstream V aircraft next to a Boeing 737.""]"
data/synthetic_visual_negation/data/positive/189446_img.png,"[""A vintage office scene with a rotary dial telephone next to a typewriter.""]"
data/synthetic_visual_negation/data/positive/222767_img.png,"[""A professional kitchen with a cleaver beside a cutting board.""]"
data/synthetic_visual_negation/data/positive/24408_img.png,"[""A park with an Australian Terrier beside a ball.""]"
data/synthetic_visual_negation/data/positive/83451_img.png,"[""A photo of a borzoi in a park next to a children's playground.""]"
data/synthetic_visual_negation/data/positive/248219_img.png,"[""A parking lot with a school bus next to a van.""]"
data/synthetic_visual_negation/data/positive/197948_img.png,"[""An aquarium with a pufferfish beside a seahorse.""]"
data/synthetic_visual_negation/data/positive/4068_img.png,"[""A snowy path with a Siberian Husky next to a snowboard.""]"
data/synthetic_visual_negation/data/positive/157831_img.png,"[""An aquarium with a lionfish beside a sea anemone.""]"
data/synthetic_visual_negation/data/positive/58522_img.png,"[""A musician's studio with a banjo next to a music stand.""]"
data/synthetic_visual_negation/data/positive/72661_img.png,"[""A parking lot with a Nissan 240SX Coupe 1998 next to a motorcycle.""]"
data/synthetic_visual_negation/data/positive/74245_img.png,"[""A living room interior with a china cabinet beside a dining table.""]"
data/synthetic_visual_negation/data/positive/225996_img.png,"[""A barn scene with a pig next to a chicken.""]"
data/synthetic_visual_negation/data/positive/45905_img.png,"[""An office with a computer beside an extension cord.""]"
data/synthetic_visual_negation/data/positive/106538_img.png,"[""A zoo exhibit for spotted dogs with a Dalmatian next to a leopard.""]"
data/synthetic_visual_negation/data/positive/30226_img.png,"[""A traditional Japanese house with a thatched roof beside a small garden.""]"
data/synthetic_visual_negation/data/positive/27572_img.png,"[""A sidewalk with a wallet beside a man's shoe.""]"
data/synthetic_visual_negation/data/positive/58723_img.png,"[""A courthouse with a prisoner beside a guard.""]"
data/synthetic_visual_negation/data/positive/118442_img.png,"[""A beach scene with an ice cream next to a beach umbrella.""]"
data/synthetic_visual_negation/data/positive/34789_img.png,"[""A kitchen counter with a strainer beside a bowl of fruit.""]"
data/synthetic_visual_negation/data/positive/182599_img.png,"[""An open savannah with a cheetah beside a gazelle.""]"
data/synthetic_visual_negation/data/positive/19506_img.png,"[""A desk with a tape beside a dispenser.""]"
data/synthetic_visual_negation/data/positive/67922_img.png,"[""A nursery scene with a baby pacifier next to a teddy bear.""]"
data/synthetic_visual_negation/data/positive/215841_img.png,"[""A kitchen scene with a box of farina beside a mixing bowl.""]"
data/synthetic_visual_negation/data/positive/60505_img.png,"[""A cozy living room scene with a tabby cat beside a sofa.""]"
data/synthetic_visual_negation/data/positive/109567_img.png,"[""A backyard with a hot tub beside a barbeque grill.""]"
data/synthetic_visual_negation/data/positive/39701_img.png,"[""A desert scene with a beaded lizard beside a cactus.""]"
data/synthetic_visual_negation/data/positive/185508_img.png,"[""A wood table with a longhorn beetle beside a magnifying glass.""]"
data/synthetic_visual_negation/data/positive/217882_img.png,"[""A business meeting table with a suit beside a briefcase.""]"
data/synthetic_visual_negation/data/positive/169070_img.png,"[""A parking lot with a HUMMER H3T Crew Cab 2010 beside a motorbike.""]"
data/synthetic_visual_negation/data/positive/210650_img.png,"[""A cruise ship deck with a lifeboat beside a lifeguard.""]"
data/synthetic_visual_negation/data/positive/15029_img.png,"[""A zoo with a red panda beside a raccoon.""]"
data/synthetic_visual_negation/data/positive/144930_img.png,"[""A breakfast plate with eggs benedict beside hash browns.""]"
data/synthetic_visual_negation/data/positive/121432_img.png,"[""A kitchen counter with a soda bottle next to a coffee mug.""]"
data/synthetic_visual_negation/data/positive/144590_img.png,"[""A backyard with an Australian Terrier next to a frisbee.""]"
data/synthetic_visual_negation/data/positive/189256_img.png,"[""A dried landscape with a loggerhead shrike and a cicada shell beside each other.""]"
data/synthetic_visual_negation/data/positive/17937_img.png,"[""A hut with a thatched roof next to a tree.""]"
data/synthetic_visual_negation/data/positive/91828_img.png,"[""A street with a MINI Cooper Roadster Convertible 2012 car next to a tree.""]"
data/synthetic_visual_negation/data/positive/226786_img.png,"[""A garden with a cricket insect next to a flower.""]"
data/synthetic_visual_negation/data/positive/224369_img.png,"[""A grassland with a hare wallaby next to a kangaroo.""]"
data/synthetic_visual_negation/data/positive/145312_img.png,"[""A zoo enclosure with a porcupine next to a lion.""]"
data/synthetic_visual_negation/data/positive/66451_img.png,"[""A veggie tray with a bell pepper beside a carrot.""]"
data/synthetic_visual_negation/data/positive/12373_img.png,"[""A small airfield with Cessna 172 aircraft beside a hangar.""]"
data/synthetic_visual_negation/data/positive/1220_img.png,"[""A schoolroom with a teacher beside a chalkboard.""]"
data/synthetic_visual_negation/data/positive/208949_img.png,"[""A busy mill with a sawmill next to a log pile.""]"
data/synthetic_visual_negation/data/positive/106869_img.png,"[""A campground with a tent next to a car.""]"
data/synthetic_visual_negation/data/positive/178357_img.png,"[""An exotic bird enclosure with a macaw next to a toucan.""]"
data/synthetic_visual_negation/data/positive/74803_img.png,"[""A plate with a berry beside a grape.""]"
data/synthetic_visual_negation/data/positive/147242_img.png,"[""A brightly colored cage with a guinea pig beside a toy.""]"
data/synthetic_visual_negation/data/positive/168266_img.png,"[""A dining table with foie gras beside toast.""]"
data/synthetic_visual_negation/data/positive/64380_img.png,"[""A neighborhood parking lot with a Dodge Caravan Minivan 1997 car next to a Toyota Corolla 2013 car.""]"
data/synthetic_visual_negation/data/positive/198808_img.png,"[""A grassland with nylas beside zebras.""]"
data/synthetic_visual_negation/data/positive/73730_img.png,"[""A sports coach's table with a stopwatch next to a clipboard.""]"
data/synthetic_visual_negation/data/positive/205424_img.png,"[""A kitchen scene with a wok beside a serving spoon.""]"
data/synthetic_visual_negation/data/positive/192078_img.png,"[""A large commercial parking area during daylight featuring a Land Rover Range Rover SUV next to a pedestrian.""]"
data/synthetic_visual_negation/data/positive/45108_img.png,"[""A street with a Mercedes-Benz SL-Class Coupe 2009 car beside a bicycle.""]"
data/synthetic_visual_negation/data/positive/78052_img.png,"[""A hangar with an Embraer Legacy 600 aircraft beside a maintenance vehicle.""]"
data/synthetic_visual_negation/data/positive/143370_img.png,"[""a photo of a glass placed next to a bottle of wine.""]"
data/synthetic_visual_negation/data/positive/66000_img.png,"[""An office desk environment with a cup holder beside a cup of coffee.""]"
data/synthetic_visual_negation/data/positive/96659_img.png,"[""A breakfast plate with scrambled eggs next to a piece of toast.""]"
data/synthetic_visual_negation/data/positive/179457_img.png,"[""A Latin American market with a Nicaraguan woman beside a basket of fruits.""]"
data/synthetic_visual_negation/data/positive/124111_img.png,"[""A zoo enclosure featuring an Asian elephant next to a giraffe.""]"
data/synthetic_visual_negation/data/positive/117553_img.png,"[""A large factory with a rolling mill beside a crane.""]"
data/synthetic_visual_negation/data/positive/74129_img.png,"[""A kitchen counter with a plunger next to a sink.""]"
data/synthetic_visual_negation/data/positive/156972_img.png,"[""A table with baklava beside a coffee.""]"
data/synthetic_visual_negation/data/positive/112787_img.png,"[""A paper food cone with churros beside a drink.""]"
data/synthetic_visual_negation/data/positive/138830_img.png,"[""A snowy field with a Great Pyrenees dog next to a snowman.""]"
data/synthetic_visual_negation/data/positive/221428_img.png,"[""A dirty workshop with a tool kit beside a bench.""]"
data/synthetic_visual_negation/data/positive/61839_img.png,"[""A crowded cafe with fish and chips next to a mug of beer.""]"
data/synthetic_visual_negation/data/positive/225239_img.png,"[""A wooden desk with a fountain pen next to an inkwell.""]"
data/synthetic_visual_negation/data/positive/171926_img.png,"[""An industrial area with a warehouse next to a crane.""]"
data/synthetic_visual_negation/data/positive/234329_img.png,"[""A kitchen with a strainer beside a pot.""]"
data/synthetic_visual_negation/data/positive/171532_img.png,"[""A kitchen scene with a cork next to a wine bottle.""]"
data/synthetic_visual_negation/data/positive/128761_img.png,"[""A busy airport with a 737-500 next to a luggage cart.""]"
data/synthetic_visual_negation/data/positive/79374_img.png,"[""A Detroit auto show floor with a Dodge Durango SUV 2012 car beside a Jeep Grand Cherokee car.""]"
data/synthetic_visual_negation/data/positive/192478_img.png,"[""A dimly lit bathroom with toilet seat beside toilet paper.""]"
data/synthetic_visual_negation/data/positive/158401_img.png,"[""A fish market counter with a snoek fish beside a whole salmon.""]"
data/synthetic_visual_negation/data/positive/27855_img.png,"[""A busy city street showcasing a horse-drawn vehicle next to a bicycle.""]"
data/synthetic_visual_negation/data/positive/100048_img.png,"[""A shopping cart with a grocery store beside a pastry.""]"
data/synthetic_visual_negation/data/positive/191435_img.png,"[""A street scene with a vespa parked next to a bicyclist.""]"
data/synthetic_visual_negation/data/positive/240566_img.png,"[""A clothing rack with a kimono beside a purse.""]"
data/synthetic_visual_negation/data/positive/110754_img.png,"[""A lakeside with a kelpie beside a swan.""]"
data/synthetic_visual_negation/data/positive/92930_img.png,"[""A bird cage with a lorikeet beside another bird.""]"
data/synthetic_visual_negation/data/positive/100090_img.png,"[""A grassy park with a Maltese beside a Frisbee.""]"
data/synthetic_visual_negation/data/positive/218980_img.png,"[""A cell block scene with a prison next to a prisoner.""]"
data/synthetic_visual_negation/data/positive/210879_img.png,"[""A fancy restaurant setting with tuna tartare placed next to crispy wontons.""]"
data/synthetic_visual_negation/data/positive/133666_img.png,"[""A wooden kitchen table with a lemon next to a knife.""]"
data/synthetic_visual_negation/data/positive/91850_img.png,"[""A terrarium with a kingsnake next to a rat.""]"
data/synthetic_visual_negation/data/positive/24173_img.png,"[""A garage scene with a station wagon beside a bicycle.""]"
data/synthetic_visual_negation/data/positive/149728_img.png,"[""A tortilla chip tray with guacamole next to salsa.""]"
data/synthetic_visual_negation/data/positive/23108_img.png,"[""A kitchen counter with a mixing bowl next to a baking sheet.""]"
data/synthetic_visual_negation/data/positive/246793_img.png,"[""A traditional dining room with a china cabinet beside china.""]"
data/synthetic_visual_negation/data/positive/66467_img.png,"[""A home bar with a cocktail shaker next to a martini glass.""]"
data/synthetic_visual_negation/data/positive/57173_img.png,"[""A billiards room with a pool table next to a cue rack.""]"
data/synthetic_visual_negation/data/positive/55846_img.png,"[""A living room scene with a Staffordshire Bull Terrier next to a dachshund.""]"
data/synthetic_visual_negation/data/positive/211550_img.png,"[""A traditional Japanese restaurant table with miso soup beside chopsticks.""]"
data/synthetic_visual_negation/data/positive/10621_img.png,"[""An ocean with a grey whale beside a fishing boat.""]"
data/synthetic_visual_negation/data/positive/99765_img.png,"[""A grassy backyard with a smooth newt next to a pond.""]"
data/synthetic_visual_negation/data/positive/121142_img.png,"[""A woodworking bench with a scrub plane beside a marking gauge.""]"
data/synthetic_visual_negation/data/positive/121001_img.png,"[""A music corner with a saxophone next to a drum.""]"
data/synthetic_visual_negation/data/positive/75562_img.png,"[""A gas station with a Hyundai Elantra Touring Hatchback 2012 car next to a fuel pump.""]"
data/synthetic_visual_negation/data/positive/85002_img.png,"[""A serene coastal scene at a lighthouse next to a boat.""]"
data/synthetic_visual_negation/data/positive/70814_img.png,"[""A coffee shop with a mobile phone next to a laptop.""]"
data/synthetic_visual_negation/data/positive/161595_img.png,"[""A large garden display featuring a peacock next to a fountain.""]"
data/synthetic_visual_negation/data/positive/99472_img.png,"[""A forest with a grey wolf beside a fox.""]"
data/synthetic_visual_negation/data/positive/140666_img.png,"[""A kitchen with a bowl beside a spoon.""]"
data/synthetic_visual_negation/data/positive/169027_img.png,"[""A wooden farmhouse kitchen with a milk can next to a stovetop.""]"
data/synthetic_visual_negation/data/positive/28095_img.png,"[""A sea floor with a sea urchin beside a starfish.""]"
data/synthetic_visual_negation/data/positive/142148_img.png,"[""A witch's den with a cauldron beside a broomstick.""]"
data/synthetic_visual_negation/data/positive/44737_img.png,"[""A museum gallery with a pedestal beside a sculpture.""]"
data/synthetic_visual_negation/data/positive/10004_img.png,"[""An airport runway with an E-190 aircraft beside a ground support vehicle.""]"
data/synthetic_visual_negation/data/positive/193727_img.png,"[""A photo of a Rhodesian Ridgeback beside a person.""]"
data/synthetic_visual_negation/data/positive/179886_img.png,"[""A terrarium with a terrapin beside a water dish.""]"
data/synthetic_visual_negation/data/positive/133532_img.png,"[""A farm setting with a threshing machine next to a tractor.""]"
data/synthetic_visual_negation/data/positive/92783_img.png,"[""A furniture store with a folding chair beside a ladder.""]"
data/synthetic_visual_negation/data/positive/135826_img.png,"[""A bustling diner presenting a breakfast burrito next to a glass of orange juice.""]"
data/synthetic_visual_negation/data/positive/147492_img.png,"[""A coral reef scene with a chaetodon fish beside a sea anemone.""]"
data/synthetic_visual_negation/data/positive/70813_img.png,"[""A grassy park with a West Highland White Terrier next to a frisbee.""]"
data/synthetic_visual_negation/data/positive/169599_img.png,"[""An old craftsman's shop with a bookbindery next to a display of printers' tools.""]"
data/synthetic_visual_negation/data/positive/208604_img.png,"[""A street scene with a woman in tudung beside a motorbike.""]"
data/synthetic_visual_negation/data/positive/147351_img.png,"[""A busy tarmac scene with a 757-300 aircraft parked beside a fuel truck.""]"
data/synthetic_visual_negation/data/positive/116083_img.png,"[""A zoo enclosure with a red wolf or maned wolf beside a zebra.""]"
data/synthetic_visual_negation/data/positive/206885_img.png,"[""A runway with an An-12 aircraft next to an Il-76 aircraft.""]"
data/synthetic_visual_negation/data/positive/47648_img.png,"[""A parking lot with a Toyota 4Runner SUV 2012 car beside a parked bicycle.""]"
data/synthetic_visual_negation/data/positive/112377_img.png,"[""a tarmac scene with a 757-200 aircraft parked next to a 747-400 aircraft.""]"
data/synthetic_visual_negation/data/positive/85910_img.png,"[""A crowded airport gate with a 737-800 aircraft next to a baggage cart.""]"
data/synthetic_visual_negation/data/positive/153390_img.png,"[""A car dealership with a Chrysler Aspen SUV 2009 car next to a Toyota Highlander 2009 SUV car.""]"
data/synthetic_visual_negation/data/positive/1727_img.png,"[""A meadow with a giant armadillo next to a tortoise.""]"
data/synthetic_visual_negation/data/positive/44386_img.png,"[""A gym with a punching bag next to a speed bag.""]"
data/synthetic_visual_negation/data/positive/237707_img.png,"[""A kitchen counter with a can opener beside a can of food.""]"
data/synthetic_visual_negation/data/positive/161857_img.png,"[""An airport tarmac with An-12 aircraft beside a stack of luggage.""]"
data/synthetic_visual_negation/data/positive/72556_img.png,"[""A restaurant scene with a American lobster next to butter sauce.""]"
data/synthetic_visual_negation/data/positive/68602_img.png,"[""An office scene with a stool beside a desk.""]"
data/synthetic_visual_negation/data/positive/22532_img.png,"[""A wall with a shield beside a sword.""]"
data/synthetic_visual_negation/data/positive/152613_img.png,"[""An indoor garden with an anthurium next to a fern.""]"
data/synthetic_visual_negation/data/positive/169008_img.png,"[""A concert hall with a songstress next to a piano.""]"
data/synthetic_visual_negation/data/positive/204559_img.png,"[""A living room with a Staffordshire Bull Terrier next to a child.""]"
data/synthetic_visual_negation/data/positive/92504_img.png,"[""A living room scene with a window shade next to a window.""]"
data/synthetic_visual_negation/data/positive/53406_img.png,"[""A laundry room scene with a clothes iron beside an ironing board.""]"
data/synthetic_visual_negation/data/positive/241550_img.png,"[""a school band concert with a person holding a bassoon beside a tuba player.""]"
data/synthetic_visual_negation/data/positive/33611_img.png,"[""A forest scene with a ruffed grouse beside a fallen log.""]"
data/synthetic_visual_negation/data/positive/136754_img.png,"[""A pasture with a European woolly thistle beside a cow.""]"
data/synthetic_visual_negation/data/positive/84777_img.png,"[""A modern kitchen with a frying pan next to a spatula.""]"
data/synthetic_visual_negation/data/positive/231890_img.png,"[""An atrium with a large fountain next to a bench.""]"
data/synthetic_visual_negation/data/positive/100917_img.png,"[""A deserted parking lot with a 2007 Audi S4 Sedan car next to a bicycle.""]"
data/synthetic_visual_negation/data/positive/44170_img.png,"[""A camping site with a mobile home next to a caravan.""]"
data/synthetic_visual_negation/data/positive/246380_img.png,"[""A botanical garden with a greenhouse beside a sunflower.""]"
