captions
"[['People walking and riding motorcycles on a street.', 'A group of motorists passing by very large buildings in Asia.', 'A group of bikers standing on a city street.', 'People riding motorcycles next to cars passing by an empty street with stores and apartment buildings.', 'Motorcyclists are driving through heavy city traffic.'], ['A photo of a backpack', 'A photo of a chair', 'A photo of a handbag', 'A photo of a backpack', 'A photo of a handbag']]"
"[['A person sitting at a desk with a keyboard and monitor.', 'A woman sitting at her desk and looking happy.', 'A woman sitting at her work station desk.', 'A woman working on her computer at her desk.', 'A woman is sitting in front of a desk.'], ['A photo of a dining table', 'A photo of a car', 'A photo of a dining table', 'A photo of a car', 'A photo of a car']]"
"[['A building wall and open doors with vases of flowers on either side.', 'A building with dirty walls and dirty doors.', 'A run down building with two planters outside the door.', 'a yellow and brown wall a gray door and a sign', 'An old external plaster wall with multiple vintage paper images attached to it.'], ['A photo of a person', 'A photo of a person', 'A photo of a dining table', 'A photo of a person', 'A photo of a chair']]"
"[['A fluffy white chair turned away from a television.', 'A reading chair with a pillow covered seat in the corner of a living room.', 'The living room is empty and the television is on.', 'A nicely decorated room with a white ornate seat and television.', 'A room with a white chair, books, shelves and a tv screen that is on.'], ['A photo of a cup', 'A photo of a person', 'A photo of a dining table', 'A photo of a dining table', 'A photo of a cup']]"
"[['A painting of a table with fruit on it.', 'A still life with oranges, a bowl, candle and pitcher.', 'A painting of fruit, a candle and a vase.', 'A painting in a gold frame of a candlestick holder with a lit candle, several pieces of fruit and a vase.', 'A painting that has a gold frame around it.'], ['A photo of a dining table', 'A photo of a person', 'A photo of a person', 'A photo of a cup', 'A photo of a dining table']]"
"[['A large jetliner sitting on top of an airport runway.', 'Airline employees standing by an aircraft parked at the gate.', 'The plane is parked at the gate at the airport terminal.', 'View from gate of a jet connected to a jet way for boarding and deplaning.', 'A large white airplane and a person standing on a lot.'], ['A photo of a handbag', 'A photo of a handbag', 'A photo of a car', 'A photo of a car', 'A photo of a car']]"
"[['A set of toy animals sitting in front of a red wooden wagon.', 'Several toy animals, including a bull, giraffe, deer and parakeet.', 'Toy animals are on the ground near a picture.', ""The children's toy animals are spread across the floor."", 'A vintage animal toy display is on the floor.'], ['A photo of a dining table', 'A photo of a person', 'A photo of a chair', 'A photo of a chair', 'A photo of a dining table']]"
"[['A bench in the grass facing the water and boats.', 'A wooden bench overlooking a harbor under a cloudy sky.', 'A beach with a grassy area and a park beach.', 'A bench that is sitting in the grass.', 'A bench at the beach overlooking the sea.'], ['A photo of a car', 'A photo of a chair', 'A photo of a car', 'A photo of a car', 'A photo of a handbag']]"
"[['A flock of goats and some men watching them.', 'A man standing in a desert with a large herd of goats.', 'A nomadic sheepherd walks behind a large group of livestock in a desert habitat.', 'A man herding goats across the desert.', 'Men keep watch on a herd of goats.'], ['A photo of a car', 'A photo of a car', 'A photo of a car', 'A photo of a car', 'A photo of a chair']]"
"[['Several cars are parked in front of the building.', 'A green car parked on the curb of a parking lot.', 'Small parking lot full of cars in front of a stone building.', 'Cars are parked in the street in front of the building.', 'Cars are lined up on the street near an old building.'], ['A photo of a truck', 'A photo of a handbag', 'A photo of a truck', 'A photo of a chair', 'A photo of a handbag']]"
"[['A coach bus with an advertisement for a political candidate.', 'The campaign trailer for Scott Brown, a candidate for Massachusetts.', 'A large bus with a political ad on the side of it.', 'A tour bus with an advertisement on the side of it.', 'A large campaign trailer is in a parking lot.'], ['A photo of a handbag', 'A photo of a chair', 'A photo of a car', 'A photo of a chair', 'A photo of a chair']]"
"[['A bus driving on a winding road behind a black car.', 'A group of people walking across a curved street.', 'A curve in a city road with a bus following a car and pedestrians walking on the side.', 'A group of people walking next to a road.', 'Fish eye view of a bus rounding a curve on a city street.'], ['A photo of a truck', 'A photo of a chair', 'A photo of a chair', 'A photo of a truck', 'A photo of a truck']]"
"[['Two buses parked next to cars in a parking lot.', 'People are crossing a busy city street with vehicles.', 'People are crossing the busy street.', 'Pedestrians walking between buses and cars on the street.', 'A street with two busses and people walking.'], ['A photo of a chair', 'A photo of a handbag', 'A photo of a handbag', 'A photo of a handbag', 'A photo of a handbag']]"
"[['A bus traveling on the freeway next to other traffic.', 'A bus and other cars driving down a multi-laned street.', 'A white bus driving on a four lane road.', 'City bus in the far right lane of a busy freeway next to traffic cones.', 'A white bus with red stripes driving down the slow lane on a freeway with other cars.'], ['A photo of a handbag', 'A photo of a handbag', 'A photo of a handbag', 'A photo of a truck', 'A photo of a chair']]"
"[['A yellow taxi cab parked below tall buildings.', 'An image of an animal on a pole with a yellow taxi.', 'a couple of yellow signs that are near a taxi', 'A city road filled with a lot of taxis.', 'Two guiding signs in front of a busy street.'], ['A photo of a truck', 'A photo of a chair', 'A photo of a chair', 'A photo of a handbag', 'A photo of a truck']]"
"[['A sign on a pole that says ""No bicycles, skates or skateboards.""', 'a close up of a vandalized street sign', 'A street sign prohibiting bicycles, skates and skateboards.', 'A street sign mounted to the side of a pole.', 'A sign prohibiting sidewalk skating with black and red lettering.'], ['A photo of a clock', 'A photo of a book', 'A photo of a book', 'A photo of a clock', 'A photo of a clock']]"
"[['Two giraffes standing next to each other outside a barn.', 'A mother giraffe standing with her baby giraffe.', 'A smaller giraffe standing next to a larger giraffe.', 'Two giraffes standing close to the wall in a sanctuary.', 'A grown giraffe standing next to a baby giraffe.'], ['A photo of a person', 'A photo of a bird', 'A photo of a person', 'A photo of a bird', 'A photo of a zebra']]"
"[['An older woman sitting by the window on a train.', 'A woman with an umbrella dozes off on a commuter train.', 'A woman sitting on a train next to a bag.', 'A man sitting on a bench on a train with a shopping bag next to him.', 'A woman sitting with a cane and a shopping bag.'], ['A photo of a car', 'A photo of a backpack', 'A photo of a chair', 'A photo of a backpack', 'A photo of a backpack']]"
"[['A woman sitting in front of the Eiffel tower with pigeons around her.', 'A woman sitting on a ledge with three pigeons with the Eiffel Tower, trees, and a gate railing in the background.', 'A man sitting on cement with birds around him.', 'A woman sitting on a wall with birds by her side.', 'A woman is sitting near a landmark.'], ['A photo of a car', 'A photo of a car', 'A photo of a chair', 'A photo of a chair', 'A photo of a backpack']]"
"[['A large wooden pole with a green street sign attached to it.', 'Street signs on the corner of Gladys and Detroit.', 'Signs are posted to give street names and parking directions.', 'Several street signs are on a wooden utility pole.', 'Street signs for Gladys and Detroit streets attached to a wooden pole.'], ['A photo of a book', 'A photo of a book', 'A photo of a clock', 'A photo of a clock', 'A photo of a refrigerator']]"
"[['Three birds walking around a dry grass field.', 'Three female peacocks are walking together.', 'Three unusual looking birds walking on the grass.', 'Three birds huddled together in an open field.', 'Three wild turkeys roosting on a dried pasture.'], ['A photo of a person', 'A photo of a chair', 'A photo of a person', 'A photo of a chair', 'A photo of a boat']]"
"[['A train traveling down the tracks next to lights.', 'A blue and silver train next to a train station and trees.', 'A blue train sitting on the rails next to a sidewalk.', 'A passenger train pulling into a train station.', 'A train is following the tracks to the station.'], ['A photo of a person', 'A photo of a car', 'A photo of a person', 'A photo of a person', 'A photo of a person']]"
"[['A train is returning to its course filled with people.', 'A blue commuter train approaching a train tunnel.', 'A blue train car on a train track near a tunnel.', 'A train with passengers is coming up to a tunnel.', 'A blue train on train tracks about to cross under a bridge.'], ['A photo of a car', 'A photo of a car', 'A photo of a chair', 'A photo of a car', 'A photo of a handbag']]"
"[['An upside down stop sign in the grass next to a building.', 'A stop sign leaning against the side of a building.', 'A red stop sign sitting on the floor next to a wall.', 'A road sign on a wooden pole is upside down next to a white wall.', 'A stop sign is leaning against a wall.'], ['A photo of a traffic light', 'A photo of a person', 'A photo of a car', 'A photo of a car', 'A photo of a car']]"
"[['A stop sign sitting on a somewhat broken pole.', 'A stop sign on a broken post across the street from houses.', 'A stop sign on a broken telephone pole in a neighborhood.', 'A stop sign on a dented wooden pole.', 'A stop sign attached to a broken wooden pole.'], ['A photo of a person', 'A photo of a person', 'A photo of a car', 'A photo of a traffic light', 'A photo of a car']]"
"[['A stop sign is lit up in the dark of night.', 'A red stop sign on the side of a dark road.', 'A red stop sign glowing in the dark sky.', 'A stop sign on the side of a street.', 'A vandalized stop sign in the dark with the sky in the background.'], ['A photo of a traffic light', 'A photo of a person', 'A photo of a car', 'A photo of a person', 'A photo of a person']]"
"[['A dog and cat snuggled up on an orange couch.', 'A dog and a cat curled up on a couch.', 'A cat and dog are napping on the couch.', 'A dog and cat sleeping on an orange couch.', 'A cat and a dog rest on a rather hideous orange couch.'], ['A photo of a chair', 'A photo of a chair', 'A photo of a person', 'A photo of a book', 'A photo of a person']]"
"[['Two cats are sitting on top of a pair of shoes.', 'Two cats sitting on a pair of sneakers outdoors.', 'Two cats sitting on a pair of shoes outdoors.', 'Two striped cats laying next to two sneakers on a ledge.', 'An orange and brown cat sitting on top of white shoes.'], ['A photo of a laptop', 'A photo of a laptop', 'A photo of a bed', 'A photo of a bed', 'A photo of a laptop']]"
"[['A cat laying on clothes in a suitcase.', 'A cat laying in a piece of luggage.', 'A cat laying in an open suitcase on top of some clothes.', 'A cat is laying in an open suitcase.', 'An orange and white cat laying on top of a bag of luggage.'], ['A photo of a person', 'A photo of a person', 'A photo of a person', 'A photo of a tv', 'A photo of a person']]"
"[['A herd of cattle grazing on a lush green field.', 'There are two cows in the grassy field.', 'Some black cattle are grazing in a lush green field.', 'Cattle grazing in a green pasture with a river and mountains in the background.', 'A few cows grazing in a field near trees.'], ['A photo of a horse', 'A photo of a horse', 'A photo of a sheep', 'A photo of a person', 'A photo of a person']]"
"[['Two cows, one laying down and the other standing near a building.', 'A white scared cow in a Tibetan city.', 'A cow standing in a grassy open field.', 'A herd of cattle sitting and standing in a lush green field.', 'White cows grazing in a grassy area with temples in the background.'], ['A photo of a sheep', 'A photo of a horse', 'A photo of a horse', 'A photo of a person', 'A photo of a sheep']]"
"[['An orange and white cat standing in front of a flat screen TV.', 'A cat climbing on top of a shelf with a tv.', 'A cat perched on top of a shelf staring down.', 'A cat standing in front of a tv on a tv stand.', 'A cat sitting on an entertainment center in front of a TV.'], ['A photo of a dining table', 'A photo of a bottle', 'A photo of a bottle', 'A photo of a chair', 'A photo of a dining table']]"
"[['A cat sitting on a desk next to a laptop.', 'A cat standing by a laptop screen looking upward.', 'A picture of a cat looking up at the ceiling.', 'A white and black cat looking up in the air in front of a desktop computer.', 'A grey and white cat stares up near a laptop.'], ['A photo of a book', 'A photo of a chair', 'A photo of a book', 'A photo of a book', 'A photo of a chair']]"
"[['A young girl with piercings on her face.', 'A painting of a girl with multiple facial piercings.', 'A young brunette woman with multiple face piercings.', 'A young woman with green eyes and piercings on her face.', 'A drawing of a young woman with multiple piercings in her face.'], ['A photo of a car', 'A photo of a chair', 'A photo of a car', 'A photo of a car', 'A photo of a handbag']]"
"[['A group of people that are standing together.', 'A group of people that are standing outside.', 'A group of people standing around outside.', 'A crowd is gathered to unwrap an item.', 'A crowd looking at something that is in a white cloth.'], ['A photo of a chair', 'A photo of a chair', 'A photo of a car', 'A photo of a car', 'A photo of a chair']]"
"[['A yacht with people near a pier on clear water.', 'A group of people on a yacht next to the coast.', 'People getting off a boat on a rocky island.', 'A party boat in the water with people on board and others boarding.', 'A pontoon boat ferry full of passengers pushing off from shore.'], ['A photo of a chair', 'A photo of a chair', 'A photo of a handbag', 'A photo of a car', 'A photo of a handbag']]"
"[['some elephants and one of them is near some water', 'An elephant drinks from a stream while others walk in the background.', 'One elephant is drinking water while the others stand around.', 'An elephant drinks water while the rest of the herd walks through the dry grass.', 'A group of elephants with water in front and trees behind them.'], ['A photo of a person', 'A photo of a car', 'A photo of a bench', 'A photo of a car', 'A photo of a person']]"
"[['there are two large boats in the water', 'Several nice looking boats that are in the water.', 'Two large ferries passing by each other in a cityscape.', 'Two long boats sail under a large bridge.', 'Scenic boats make their daily journey along the Thames in England.'], ['A photo of a car', 'A photo of a truck', 'A photo of a truck', 'A photo of a truck', 'A photo of a truck']]"
"[['An elephant standing under the shade of a tree.', 'An elephant standing in a rocky environment.', 'An elephant standing in an enclosure surrounded by wood.', 'An elephant standing in a shaded clearing in a wooded area.', 'An elephant walking past big rocks and boulders in an open field.'], ['A photo of a car', 'A photo of a car', 'A photo of a bench', 'A photo of a person', 'A photo of a person']]"
"[['A black and white picture of a colored British flag umbrella.', 'A lady holding an umbrella with a British flag design in a crowd.', 'A color corrected image of a person carrying a red, white and blue umbrella.', 'Black and white picture of a busy city sidewalk with a colorful umbrella in the middle.', 'A group of people walking down a city street.'], ['A photo of a chair', 'A photo of a chair', 'A photo of a car', 'A photo of a car', 'A photo of a backpack']]"
"[['An elephant is standing near a tree.', 'An elephant walking on a grassy field with trees.', 'A large tusked elephant walking through a wooded area.', 'An elephant walking through some lush green shrubs.', 'An adorable elephant walking through a lush, grass covered forest.'], ['A photo of a car', 'A photo of a bench', 'A photo of a car', 'A photo of a bench', 'A photo of a car']]"
"[['There are women laughing together under an umbrella.', 'Three teenage girls huddled under an umbrella talking and laughing.', 'Three people standing under an umbrella.', 'Three girls walking down the sidewalk under a sun umbrella.', 'Three young women under a large umbrella share a bright smile.'], ['A photo of a backpack', 'A photo of a car', 'A photo of a chair', 'A photo of a chair', 'A photo of a car']]"
"[['A black briefcase with several middle eastern looking stickers.', 'A suitcase with stickers on a table outside in the city.', 'A luggage bag sitting on top of a table.', 'A briefcase sitting on a table with stickers on it.', 'A lunch box of some sort is on the table.'], ['A photo of a chair', 'A photo of a car', 'A photo of a cup', 'A photo of a cup', 'A photo of a chair']]"
"[['A woman standing next to a brown and white dog.', 'A man watching a dog looking at a toy in the air.', 'A man standing in a grass field with a dog, with frisbee toys in the air.', 'A man watching a dog about to jump for a frisbee.', 'A Frisbee in the air with a dog crouching below looking up at it and a man behind the dog watching.'], ['A photo of a handbag', 'A photo of a handbag', 'A photo of a car', 'A photo of a chair', 'A photo of a handbag']]"
"[['A man standing next to train tracks with bags of luggage.', 'A man standing on a railway platform next to luggage.', 'A man at a train station near a pile of luggage.', 'A man standing at a train station with luggage.', 'A young man standing with luggage next to the tracks.'], ['A photo of a chair', 'A photo of a dining table', 'A photo of a chair', 'A photo of a chair', 'A photo of a car']]"
"[['A polar bear is following a large winged bird.', 'A large bear is about to drink from the water in the background while another polar bear lands.', 'A polar bear and a bird near a small pond.', ""A bird sitting at the water's edge with a bear on the opposite side."", 'A Polar Bear approaches the water as a large bird lands on the opposite bank.'], ['A photo of a person', 'A photo of a chair', 'A photo of a person', 'A photo of a boat', 'A photo of a chair']]"
"[['A lone zebra in the green forest.', 'A zebra standing in a field of grass outside.', 'A zebra standing in a grassy field next to the woods.', 'A zebra standing in a wooded area with high grass.', 'A half zebra hybrid standing in tall grass.'], ['A photo of a bird', 'A photo of a bird', 'A photo of a bird', 'A photo of a giraffe', 'A photo of a giraffe']]"
"[['An antelope grazing between two zebras.', 'Several zebras grazing on the green grass in the pasture.', 'Two zebras and another animal in the grass together.', 'Three zebras in a field with a body of water in the distance.', 'Three zebras walking and grazing on grass.'], ['A photo of a giraffe', 'A photo of a person', 'A photo of a giraffe', 'A photo of a person', 'A photo of a person']]"
"[['A zebra standing on top of a grassy field.', 'A very pretty zebra standing in the shade.', 'A zebra is shown from its left side on a field.', 'A zebra standing in an open field.', 'A large zebra standing next to a tree.'], ['A photo of a giraffe', 'A photo of a giraffe', 'A photo of a bird', 'A photo of a bird', 'A photo of a giraffe']]"
"[['Two zebras fighting each other while a cloud of dust billows around them.', 'Two zebras fighting in an open area with green bushes.', 'Two zebras are battling each other on their hind legs.', 'Two zebras fighting in the middle of a dry grass field.', 'Two zebras fighting in a jungle clearing.'], ['A photo of a car', 'A photo of a giraffe', 'A photo of a giraffe', 'A photo of a giraffe', 'A photo of a giraffe']]"
"[['A couple of jockeys riding horses through the beach.', 'Jockeys race horses on the beach on a clear day.', 'Jockeys on horses racing on the ocean beach.', 'People on horses riding along the beach.', 'Three people riding horses on the beach.'], ['A photo of a car', 'A photo of a car', 'A photo of a handbag', 'A photo of a car', 'A photo of a car']]"
"[['A white horse pulling a trolley behind it.', 'A horse pulling a wagon with a conductor down the road.', 'A large white horse pulling a trolley car down a street.', 'A trolley is being pulled by a white horse.', 'A horse pulling a trolley carriage with a man on it.'], ['A photo of a car', 'A photo of a chair', 'A photo of a handbag', 'A photo of a handbag', 'A photo of a chair']]"
"[['A large white horse in a dirt cage.', 'A white horse standing near a riding field.', 'A white horse standing next to a fence.', 'A white horse standing in a corral looking on.', 'A white horse standing on top of a dirt field.'], ['A photo of a truck', 'A photo of a car', 'A photo of a car', 'A photo of a car', 'A photo of a truck']]"
"[['A man in a blue coat skiing in a snowy field.', 'A person on skis on a snow covered slope.', 'A person standing in the deep snow with trees covered with snow.', 'A man walking on his skis in the snow with trees in the background.', 'A man standing in the snow with skis on.'], ['A photo of a chair', 'A photo of a handbag', 'A photo of a handbag', 'A photo of a handbag', 'A photo of a chair']]"
"[['A baseball player preparing to throw a pitch during a game.', 'A man standing in the dirt with a glove on.', 'A baseball player lunges and reaches back with the ball.', 'A baseball player pitching a baseball on a field.', 'A man in a Rays uniform throwing a baseball.'], ['A photo of a car', 'A photo of a handbag', 'A photo of a handbag', 'A photo of a handbag', 'A photo of a handbag']]"
"[['A person trying to ski down a snowy slope.', 'A woman learning how to ski on the snow.', 'A child bending over on skis in the snow.', 'A person wearing skis standing in the snow.', 'A woman touching her skis while skiing down a ski hill.'], ['A photo of a chair', 'A photo of a car', 'A photo of a handbag', 'A photo of a car', 'A photo of a handbag']]"
"[['A bowl filled with bananas, sprinkles, chocolate chips and marshmallows.', 'A bowl filled with bananas, marshmallows, chocolate chips and sprinkles.', 'A blue plastic bowl with some dessert and toppings in it.', 'A blue plate topped with marshmallows, chocolate chips and a banana.', 'A bowl full of marshmallows, chocolate and other treats.'], ['A photo of a car', 'A photo of a chair', 'A photo of a chair', 'A photo of a car', 'A photo of a chair']]"
"[['A plate filled with broccoli and noodles.', 'A dish of vegetables and noodles with sauce.', 'The dinner on the plate is ready to be eaten.', 'A broccoli and pasta salad with oil and vinegar dressing.', 'A plate of food with meat and veggies.'], ['A photo of a carrot', 'A photo of a bowl', 'A photo of a carrot', 'A photo of a bowl', 'A photo of a bowl']]"
"[['A person wearing a helmet riding a skateboard.', 'A man in a yellow and black body suit riding a skateboard.', 'A man wearing a helmet riding on an electrical skateboard.', 'A skateboarder with a skateboard that has a large wheel in the back.', 'A man riding an electric skateboard in a long exposure shot.'], ['A photo of a car', 'A photo of a car', 'A photo of a chair', 'A photo of a car', 'A photo of a handbag']]"
"[['A youngster on a skateboard attempting a tip up stunt.', 'Young skateboarder showing off skills on sidewalk near field.', 'A person riding a skateboard on a street.', 'A young boy is doing tricks on a skateboard.', 'A little boy jumping on a skateboard.'], ['A photo of a car', 'A photo of a handbag', 'A photo of a handbag', 'A photo of a chair', 'A photo of a chair']]"
"[['A skateboarder rides down a ramp at a skate park.', 'A black and white photograph of a person on a skateboard.', 'A person on the edge of a skateboard getting ready to do a trick.', 'A man standing on a skateboard at a skate park.', 'A black and white photo of a person wearing DC shoes on a skateboard in the sun.'], ['A photo of a car', 'A photo of a handbag', 'A photo of a car', 'A photo of a handbag', 'A photo of a handbag']]"
"[['A boy with a blue shirt and jeans doing a trick with his skateboard.', 'A young man doing a jump with his skateboard in a skate park.', 'A man on a skateboard is launching himself over a ramp.', 'A man flying through the air with his skateboard above a half pipe.', 'A man doing a skateboard trick in the air.'], ['A photo of a handbag', 'A photo of a chair', 'A photo of a chair', 'A photo of a chair', 'A photo of a chair']]"
"[['A man holding a microphone in one hand and a skateboard in the other.', 'A man holding a skateboard and a microphone.', 'A young man holding a microphone and a skateboard.', 'A young skateboarder talking into a microphone.', 'A guy holding a skateboard talking into a microphone.'], ['A photo of a handbag', 'A photo of a chair', 'A photo of a handbag', 'A photo of a handbag', 'A photo of a handbag']]"
"[['A plate of donuts with a person in the background.', 'A person sitting on the floor near a plate of donuts.', 'Eight doughnuts are arranged on a white serving tray.', 'A plate of chocolate and glazed donuts stacked neatly.', 'A close up of glazed donuts, plain and chocolate covered.'], ['A photo of a handbag', 'A photo of a car', 'A photo of a chair', 'A photo of a handbag', 'A photo of a chair']]"
"[['A man biting into a doughnut with a sly look.', 'A man wearing glasses eating a donut.', 'A man wearing glasses eating a donut.', 'A man wearing glasses eating a glazed donut outdoors.', 'A man wearing glasses is biting into a doughnut.'], ['A photo of a handbag', 'A photo of a car', 'A photo of a chair', 'A photo of a handbag', 'A photo of a chair']]"
"[['Three different donuts, one pink, one brown, and one with white sprinkles.', 'A table topped with a white plate of three donuts.', 'A variety of doughnuts are arranged on the paper plate.', 'Frosted and sprinkled donuts stacked on a paper plate.', 'Donuts with frosting and glazed toppings on table next to coffee maker.'], ['A photo of a chair', 'A photo of a person', 'A photo of a chair', 'A photo of a person', 'A photo of a cup']]"
"[['Three workers standing together with their baked goods behind them.', 'Three people standing in front of trays of doughnuts and bagels.', 'Three people in work uniforms and visors standing together in front of an assortment of donuts.', 'Three female workers stand in front of a display of pastries.', 'Girls in colorful shirts standing by pastries.'], ['A photo of a chair', 'A photo of a car', 'A photo of a car', 'A photo of a handbag', 'A photo of a car']]"
"[['Many donuts are laid to dry on a grill.', 'A black and white picture of a rack full of doughnuts.', 'A rack holding a row of glazed donuts.', 'a close up of a grill of doughnuts', 'A couple dozen of glazed donuts on a wire rack.'], ['A photo of a person', 'A photo of a dining table', 'A photo of a dining table', 'A photo of a dining table', 'A photo of a dining table']]"
"[['A sandwich on a plate with garnish.', 'A delicious sandwich with meat and avocado on a cutting board.', 'A ham sandwich sitting on a white plate with kale.', 'A white bread sandwich filled with ham and lettuce on a plate.', 'A table with plates of sandwiches and fruit.'], ['A photo of a person', 'A photo of a person', 'A photo of a cup', 'A photo of a cup', 'A photo of a cup']]"
"[['A person holding up a chocolate doughnut with a face drawn on it.', 'A man holding up what appears to be a chocolate dessert.', 'A person holding up a tasty looking treat.', 'A person holding a cookie with icing and one arm bitten off.', 'A person holding an oddly shaped cookie up to the camera.'], ['A photo of a dining table', 'A photo of a car', 'A photo of a car', 'A photo of a car', 'A photo of a car']]"
"[['A man holding a ball by a gate.', 'A man is walking while holding a ball in his hand.', 'A man throwing a ball and smiling on a field.', 'A black and white photo of a man throwing a ball.', 'A man is holding a ball and is about to throw it.'], ['A photo of a dining table', 'A photo of a dining table', 'A photo of a chair', 'A photo of a car', 'A photo of a dining table']]"
"[['A group of people walking along a beach.', 'The people on the beach have surfboards.', 'Surboarders are waiting on the shore and riding the waves.', 'Surfers stand on the beach with their surfboards for the early morning sunrise.', 'A beach full of surfers in and out of the water.'], ['A photo of a car', 'A photo of a handbag', 'A photo of a chair', 'A photo of a handbag', 'A photo of a chair']]"
"[['A two layer cake sitting on top of a table.', 'A two layered cake sitting on a table top.', 'The cake is prepared and ready to be eaten.', 'A white boxy birthday cake with red flowers and blue accents on a decorated table with a gray cover and candles.', 'A two layer cake sitting on a table with candles.'], ['A photo of a chair', 'A photo of a chair', 'A photo of a chair', 'A photo of a chair', 'A photo of a chair']]"
"[['A group of adults playing soccer on a field.', 'The two teams are kicking the soccer ball.', 'A man kicking a soccer ball during a soccer game.', 'A soccer game on a field with several men playing.', 'Soccer players wearing orange and grey uniforms on a field.'], ['A photo of a handbag', 'A photo of a handbag', 'A photo of a handbag', 'A photo of a handbag', 'A photo of a car']]"
"[['Two women in a room, one holding a cake.', 'A lady holding a cake with candles while another lady communicates with her fingers.', 'A woman carrying a cake with candles and another woman in the background.', 'Two women, one holding a cake and the other holding up her index finger.', 'A person holding a small cake with candles on it.'], ['A photo of a dining table', 'A photo of a dining table', 'A photo of a dining table', 'A photo of a chair', 'A photo of a chair']]"
"[['a couple of windows in a room', 'A room with a large window on one side.', 'The outdated hospital room is in need of remodeling.', 'An old doctors office with two windows with curtains.', 'A metal rack with rags hanging from it.'], ['A photo of a chair', 'A photo of a person', 'A photo of a book', 'A photo of a chair', 'A photo of a chair']]"
"[['A messy room with a door, bed and chair.', 'A bedroom in an old house that is being renovated.', 'A very messy bedroom with the floor covered in boxes and bags.', 'A messy bedroom with a bed, chair and boxes.', 'A messy bedroom with a red brick wall.'], ['A photo of a dining table', 'A photo of a dining table', 'A photo of a dining table', 'A photo of a cup', 'A photo of a dining table']]"
"[['A baby in a plaid shirt eating a frosted cake.', 'The young boy is enjoying his cake which is all over him.', 'A toddler in his high chair eating cake with his hands.', 'A toddler making a mess while eating his cake.', 'A baby boy at the table eating cake frosting off his hand.'], ['A photo of a car', 'A photo of a car', 'A photo of a car', 'A photo of a car', 'A photo of a car']]"
