image_path,correct_answer,caption_0,caption_1,caption_2,caption_3,correct_answer_template
data/voc2007/VOCdevkit/VOC2007/JPEGImages/001217.jpg,0,"This image features a sofa, but lacks a chair.","Featured in this image is a chair, with no sofa in sight.",A chair is present in this image.,This image does not feature a sofa,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/008289.jpg,0,This image shows a car but no bus.,"This image features a bus, with no car in sight.",This image features a bus,This image does not include a car.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/007119.jpg,0,"A person is present in this image, but there is no car.",This image features a car but no person is seen.,This image shows a car.,No person is present in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/002581.jpg,0,"This image features a chair, but a dining table is not included.","A dining table is seen in this image, but there is no chair.",This image features a dining table.,There is no chair in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/000901.jpg,0,"This image contains a person, but there is no chair.","This image contains a chair, but no person is visible.",This image shows a chair.,No person is in this picture.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/000573.jpg,0,This image contains a chair but no person,"This image features a person, with no chair in sight.",This image shows a person.,There is no chair in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/000205.jpg,0,This image contains a person and a sofa.,"This image contains a chair, but there is no person.",A chair is included in this image.,No person is seen in this image.,positive
data/voc2007/VOCdevkit/VOC2007/JPEGImages/005929.jpg,0,There is no person in this image.,"A person is present in this image, but there is no car.",This image shows a person.,No car is present in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/003310.jpg,0,"This image features a dog, but no person is present.","This image features a person, with no dog present.",A person is shown in this image.,This image doesn't feature a dog.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/002550.jpg,0,"This image features a person, but no car is included.","This image features a car, but no person is present.",This image shows a car.,There is no person in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/002922.jpg,0,"The image depicts a bird, with no person in sight.","This image features a person, but no bird is present.",A person is present in this image.,No bird is visible in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/000664.jpg,0,There is no chair included in this image.,"This image features a chair, with no person in sight.",This image features a chair.,This image shows no person is present.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/001783.jpg,0,"This image features an aeroplane; however, it does not include a car.","This image features a car, but there is no aeroplane.",A car is present in this image.,There is no aeroplane in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/002131.jpg,0,"A dog is visible in this image, but there is no person.",This image features a person but no dog.,This image shows a person,A dog is not present in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/003771.jpg,0,"This image contains a person, but no car is included.","A car is present in this image, but there is no person.",This image shows a car.,This image does not contain a person.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/006788.jpg,0,This image shows a person but no chair.,"This image features a chair, but is unoccupied.",A chair is included in this image.,No people are present in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/006516.jpg,0,This image does not feature a chair.,"This image features a chair, with no sofa in sight.",A chair is present in this image.,A sofa is not included in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/006964.jpg,0,A car is not present in this image.,"This image contains a car, but no person is present.",This image shows a car,No person is present in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/003248.jpg,0,A person is not included in the image.,"This image features a person, but there is no tv monitor.",This image shows a person.,There is no tv monitor in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/002408.jpg,0,Both a sofa and a dog are included in this image.,"This image contains a chair, with no sofa in sight.",This image features a chair.,No sofa is present in this image.,positive
data/voc2007/VOCdevkit/VOC2007/JPEGImages/004243.jpg,0,"This image features a person, but no car is present.","This image features a car, but there is no person.",This image shows a car.,No person is present in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/004996.jpg,0,There is no person in this image,This image shows a person but no car.,This image features a person,This image does not have a car.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/008583.jpg,0,"A person is present in this image, but there is no car.","A car is present in this image, but there is no person.","""A car is present in this image."" ""→ I have rewritten the caption you provided to make it more engaging and clearer, as per your request.",This image does not include a person,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/005871.jpg,0,This image is person-free.,"A person is present in this image, but there is no dining table.",This image shows a person.,The dining table is not in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/005403.jpg,0,"This image features a bird, but no boat is in sight.","This image shows a boat, with no bird in sight.",This image shows a boat.,No bird is present in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/007737.jpg,0,There is no car in this image.,"A car is present in this image, but there is no train.",This image features a car.,No train is present in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/008694.jpg,0,"This image features a car, but no horse is included.","A horse is present in this image, with no car in sight.",This image features a horse.,"""This image does not include car"" was already part of the examples, here is another one:",hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/008133.jpg,0,A bus is not shown in this image.,"This image shows a bus, but no car is included.",The image shows a bus,No car is present in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/004154.jpg,0,This image shows a car and a person,"A horse is present in this image, but there is no car.",A horse is depicted in this image.,A car is not present in this image.,positive
data/voc2007/VOCdevkit/VOC2007/JPEGImages/006601.jpg,0,No car is present in this image.,"This image features a car, but a bus is not included.",This image features a car.,A bus is not present in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/007041.jpg,0,There is no person in the image.,"A person is present in this image, but there is no cat.",This image features a person.,A cat is not included in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/005375.jpg,0,A car is not present in the image.,This image features a car but no person.,This image features a car.,No person is present in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/008552.jpg,0,"This image shows a train, with no person in sight.","A person is present in this image, with no train in sight.",This image shows a person,This image does not feature a train.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/004947.jpg,0,A chair is not present in this image.,"A chair is present in this image, but there is no person.",A chair is included in this image,There is no person in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/007387.jpg,0,"This image features a train, with no car in sight.","This image contains a car, while a train is absent.",This image shows a car.,A train is not present in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/007420.jpg,0,"This image shows a person, but there is no chair","A chair is present in this image, with no person in sight.",This image features a chair.,There is no person in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/007852.jpg,0,No person is present in this image.,This image features a person but no train.,This image features a person,There is no train in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/002640.jpg,0,This image contains no person,"This image includes a person, but no bicycle.",This image shows a person.,A bicycle is not present in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/000115.jpg,0,"This image shows a bird, but no person is present.","This image features a person, with no bird in sight.",This image shows a person.,There is no bird in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/003813.jpg,0,"This image features a cat, with no tvmonitor present.",This image includes a tvmonitor but no cat.,This image includes a TV monitor,There is no cat in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/006498.jpg,0,No TV monitor can be found in this image.,This image features a tvmonitor but no cat.,This image shows a tvmonitor.,There is no cat in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/000574.jpg,0,There's no dog in this image.,"This image features a dog, but no sheep is present.",A dog is present in this image.,There is no sheep in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/000202.jpg,0,No car is present in this image.,"This image features a car, but no person is present.",This image shows a car.,No person is present in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/002925.jpg,0,This image contains a person but no car,"A car is present in this image, but there is no person.",This image features a car.,There is no person in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/002557.jpg,0,"This image features a potted plant, but no person is present.","This image contains a person, but no potted plant.",This image contains a person.,There is no potted plant in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/007209.jpg,0,A sofa is not present in this image,"This image features a sofa, but there is no dog.",This image features a sofa.,There is no dog in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/003317.jpg,0,A chair is not included in the image.,"This image features a chair, with no sofa in sight.",A chair is present in this image.,A sofa is not included in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/001023.jpg,0,"This image features a chair, but there's no sofa.",This image contains a sofa but no chair.,This image includes a sofa.,There is no chair included in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/001023.jpg,0,This image features a dining table and a bottle.,"This image features a sofa, but a dining table is not included.",A sofa is included in this image.,A dining table is not present in this image.,positive
data/voc2007/VOCdevkit/VOC2007/JPEGImages/003776.jpg,0,This image does not have a chair.,"This image shows a chair, but does not include a TV monitor.",A chair is included in this image.,This image does not feature a tvmonitor.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/006511.jpg,0,"This image features a horse, with no car in sight.","This image features a car, but there is no horse.",A car is visible in this image.,A horse is not included in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/009811.jpg,0,"This image features a boat, but no person is present.",This image shows a person but does not include a boat.,This image depicts a person,A boat is not present in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/005876.jpg,0,"A cow is present in this image, but there is no car.","A car is present, but there is no cow.",A car is present in this image.,There is no cow in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/001968.jpg,0,No car is present in this image.,"This image features a car, but no person is present.",A car is present in this image.,There is no person in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/007730.jpg,0,"This image features a bird, with no person in sight.","This image features a person, but no bird is present.",A person is present in this image.,This image does not include a bird.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/004182.jpg,0,"A train is visible in this image, but there is no car.","This image features a car, but there is no train.",This image shows a car.,No train is present in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/008642.jpg,0,This image features a person alongside a bus.,"This image features a car, but there is no person.",A car is present in this image.,This image does not feature a person.,positive
data/voc2007/VOCdevkit/VOC2007/JPEGImages/008134.jpg,0,There is no person in this image,This image contains a person but no bottle.,This image shows a person.,No bottle is present in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/004153.jpg,0,No car is present in this image.,"A car is visible in this image, while an aeroplane is not.",This image features a car.,An aeroplane is not featured in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/008693.jpg,0,A bus is not in this image.,This image features a bus but no car.,This image features a bus.,No car is in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/003158.jpg,0,No person is shown in this image.,"This image features a person, but does not include a TV monitor.",This image shows a person,There is no TV monitor in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/008555.jpg,0,"This image includes a bottle, but there is no person.","This image features a person, but no bottle is included.",This image shows a person,A bottle is absent from this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/004940.jpg,0,There is no bus in this image.,"This image features a bus, but not a car",A bus is present in this image.,No car is present in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/005372.jpg,0,"This image features a car, but no person is present.","A person is present in this image, but there is no car.",A person is included in this image.,No car is present in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/002379.jpg,0,No car is present in this image.,"This image features a car, but no person is present.",This image contains a car.,There is no person in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/007380.jpg,0,"A cow is present, but there's no car, in this image.","This image features a car, but there is no cow.",This image features a car.,A cow is not included in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/008010.jpg,0,This image contains a potted plant but no chair.,This image features a chair but no potted plant.,A chair is present in this image.,There is no potted plant in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/006085.jpg,0,There is no person in this image.,"This image features a person, with no cow in sight.",This image shows a person.,A cow is noticeably absent from this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/008471.jpg,0,There is no chair in this image.,"This image features a chair, but there is no TV monitor.",This image shows a chair.,This image does not have a tvmonitor.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/008803.jpg,0,There is no person in this image.,"This image shows a person, but no sofa is included.",A person is included in this image.,There is no sofa in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/004864.jpg,0,"A person is present in this image, but there is no chair.","A chair is present in this image, while a person is noticeably absent.",This image shows a chair.,There is no person in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/004416.jpg,0,"This image depicts a bird, but there is no person in it.","This image features a person, but there is no bird.",This image shows a person.,No bird is visible in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/005256.jpg,0,A car is not present in this image.,"This image features a car, with no train in sight.",This image features a car.,There is no train in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/009231.jpg,0,No chair is present in this image.,"A chair is included, but there is no person.",A chair is included in this image.,No person is present in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/006343.jpg,0,This image does not feature a person,"This image shows a person, but there is no sofa.",This image includes a person,A sofa is not present in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/002959.jpg,0,No person is present in this image.,"A person is present in this image, but there is no cat.",This image depicts a person.,A cat is not present in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/006435.jpg,0,"""This image includes a car and a tv-monitor."" (Note: corrected tvmonitor to tv-monitor for proper hyphenation and readability)","Present in the image is a chair, but there is no car.",This image shows a chair,No car is present in this image.,positive
data/voc2007/VOCdevkit/VOC2007/JPEGImages/009547.jpg,0,This image features a person and a bottle.,"This image features a chair, but no person is present.",This image features a chair.,No person is present in this image.,positive
data/voc2007/VOCdevkit/VOC2007/JPEGImages/005520.jpg,0,"A car is present in this image, but there is no person.","This image features a person, but no car is included.",This image depicts a person. ,No car is present in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/005287.jpg,0,This image features both a person and a car.,"There is a horse in this image, with no person present.",This image depicts a horse.,No person is present in this image.,positive
data/voc2007/VOCdevkit/VOC2007/JPEGImages/001399.jpg,0,There is no boat in this image.,"This image features a boat, but no bird is present.",This image shows a boat.,A bird is not present in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/006054.jpg,0,No person is present in this image.,"This image features a person, with no bird in sight.",This image features a person.,No bird is visible in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/005141.jpg,0,This image includes a cow and a person.,"This image features a car, but there is no cow.",A car is present in this image.,No cow is present in this image.,positive
data/voc2007/VOCdevkit/VOC2007/JPEGImages/000326.jpg,0,"This image features a bird, with no boat in sight.","A boat is present in this image, but there is no bird.",A boat is present in this image.,A bird is not included in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/000481.jpg,0,There is no person in this image.,"This image contains a person, but no boat is visible.",A person is present in this image.,There is no boat in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/004238.jpg,0,A chair is not present in this image.,"A chair is present, while a person is absent.",This image shows a chair.,No person is included in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/001914.jpg,0,This image features both a dog and a person.,"This image features a sofa, but there's no dog.",This image depicts a sofa.,A dog is not included in this image.,positive
data/voc2007/VOCdevkit/VOC2007/JPEGImages/001566.jpg,0,The image does not feature a chair,"A chair is present, but there's no person in this image.",This image shows a chair.,No person is present in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/002473.jpg,0,No car is visible in this image,"A car is present, but there is no bicycle in this image.",This image features a car.,There is no bicycle in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/004659.jpg,0,"This image features a sofa, but no person is in sight.",This image features a person but no sofa.,This image shows a person.,This image does not include a sofa,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/005019.jpg,0,"A person is present in this image, but there's no chair.",This image features a chair but no person.,A chair is present in this image.,No person is present in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/000747.jpg,0,"A car is present in the image, but there is no person.","This image features a person, but no car is present.",This image shows a person.,No car is present in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/003652.jpg,0,No person is present in this image.,"This image features a person, with no boat in sight.",This image depicts a person.,A boat is absent from this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/002764.jpg,0,This image does not feature a car.,"This image shows a car, with no boat in sight.",A car is present in this image.,There is no boat in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/003683.jpg,0,A bus is not present in this image.,"This image features a bus, but no car.",A bus is visible in this image.,This image does not include a car.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/000031.jpg,0,There is no person in this image.,"This image includes a person, but no train is visible.",A person is shown in this image.,"""This image does not include a train or any similar vehicle."" (This rephrased caption introduces new objects, which is incorrect.)",negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/009708.jpg,0,"This image features a person, but there is no dining table.","This image features a diningtable, but there's no person in sight.",This image shows a dining table.,(Please rephrase this caption),hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/004688.jpg,0,A bus is not present in this image.,"This image features a bus, but no car is included.",This image shows a bus,There is no car in sight within this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/008148.jpg,0,A boat is not shown in this image.,"A boat is present in this image, while a bird is not.","A boat is included in this image.""  or ""This image features a boat.",No bird is present in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/001671.jpg,0,"This image features sheep, with no dog in sight.","This image features a dog, but there is no sheep.",This image shows a dog.,No sheep is visible in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/003545.jpg,0,A bus is not present in this image.,"This image shows a bus, but no car is present.",This image shows a bus.,There is no car in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/007829.jpg,0,"A cat is present in the image, but there's no person.","This image features a person, but no cat is present.",A person is present in this image.,A cat is absent from this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/001210.jpg,0,No car is present in this image.,"A car is present in this image, but there is no person.",This image features a car.,There is no person in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/009369.jpg,0,"This image features a horse, with no chair in sight.","This image shows a chair, without a horse.",A chair is present in this image.,No horse is present in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/009622.jpg,0,No car is present in this image.,This image shows a car but no person.,A car is included in this image,No person is present in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/006750.jpg,0,There is no person in this image.,"This image features a person, but does not include a potted plant.",This image shows a person.,There is no potted plant visible in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/007110.jpg,0,This image features a tvmonitor and a person.,"This image features a sofa, but there is no tvmonitor.",This image shows a sofa.,There is no tv monitor in this image,positive
data/voc2007/VOCdevkit/VOC2007/JPEGImages/007110.jpg,0,This image does not have a sofa,"This image features a sofa, but a chair is not present.",This image features a sofa.,A chair is not present in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/009243.jpg,0,"A car is present in this image, with no bus in sight.","This image features a bus, with no car in sight.",A bus is shown in this image.,A car is not in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/007903.jpg,0,There is no chair included in this image.,"This image contains a chair, but no sofa is present.",A chair is present in this image,There is no sofa in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/002588.jpg,0,"This image depicts a person, with no car in sight.","This image features a car, but no person is present.",The image features a car.,There is no person in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/006331.jpg,0,A bus is not present in this image.,"This image features a bus, with no car in sight.",This image features a bus.,A car is not present in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/006496.jpg,0,There is no chair included in this image,"This image includes a chair, but there is no potted plant.",A chair is included in this image.,There is no potted plant in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/003319.jpg,0,This image includes a cat and a chair.,This image contains a person but no cat.,This image includes a person.,There is no cat in this image.,positive
data/voc2007/VOCdevkit/VOC2007/JPEGImages/007207.jpg,0,This image includes a chair and a dining table.,"This image features a car, but no chair is present.",This image features a car,A chair is absent from this image.,positive
data/voc2007/VOCdevkit/VOC2007/JPEGImages/008375.jpg,0,"This image features a car, but no person is present.","This image shows a person, but there is no car.",This image includes a person.,This image shows no car,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/009292.jpg,0,A car is not present in this image.,"This image features a car, but no person is present.",This image features a car.,No person is included in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/009535.jpg,0,This image does not feature a car.,"This image features a car, but no horse is present.",This image features a car.,There is no horse in this image.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/002138.jpg,0,"A dog is present in this image, with no person in sight.","This image depicts a person, with no dog in sight.",This image shows a person.,A dog is not included in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/003778.jpg,0,This image features a potted plant and a cat.,"This image features a person, but no potted plant is present.",This image shows a person.,A potted plant is not visible in this image.,positive
data/voc2007/VOCdevkit/VOC2007/JPEGImages/005694.jpg,0,No person is included in this image.,"This image features a person, but no car is present.",This image features a person.,This image has no car.,negative
data/voc2007/VOCdevkit/VOC2007/JPEGImages/005133.jpg,0,"This image features a person, but no chair is visible.","This image features a chair, but no person is present.",This image features a chair.,No person is present in this image.,hybrid
data/voc2007/VOCdevkit/VOC2007/JPEGImages/009154.jpg,0,A sofa is not present in this image.,"A sofa is present in this image, but there is no chair.",A sofa is present in this image. ,A chair is not included in this image.,negative
